id	gloss	text
101	IF PT_PRO3 RUN THEN PT_PRO3 BAD	If they run, then they are bad.
102	NEXT-WEEK FRIEND GO CITY	My friend will go to the city next week.
103	MORNING PT_PRO1 CAN NOT EMAIL TEACHER	I cannot email my teacher in the morning.
104	MORNING PT_PRO1 WANT NOT READ MONEY	I do not want to read money in the morning.
105	AFTERNOON PT_PRO2 DRINK TEA	You drink tea in the afternoon.
106	LAST-WEEK PT_PRO1 RUN SOMETIMES	I ran last week sometimes.
107	WHO PT_PRO2 TEXT Q	Who Will you text tomorrow?
108	WHO PT_PRO3 MEET Q	Who Do they meet?
109	LAST-WEEK PT_PRO2 BUY MONEY	You bought money last week.
110	WHERE TEACHER COME Q	Where Does the teacher come at night?
111	WHAT PT_PRO3 BUY Q	What Did they buy last week?
112	MORNING PT_PRO2 WANT NOT TRAIN	You do not want to train in the morning.
113	WEEKEND PT_PRO3 BAD	They are bad on the weekend.
114	WHEN PT_PRO2 RUN Q	When Do you run?
115	TODAY PT_PRO3 READ MESSAGE	They read a message today.
116	HOW PT_PRO3 STUDY Q	How Do they study?
117	HOW PT_PRO1 RUN Q	How Do I run in the morning?
118	WHO CHILD HELP Q	Who Does the child help on the weekend?
119	NIGHT PT_PRO2 MEET NEIGHBOUR	You meet my neighbour at night.
120	NOW PT_PRO3 WORK FAST	They work now quickly.
121	WEEKEND DOCTOR TEXT COACH	The doctor texts my coach on the weekend.
122	AFTERNOON PT_PRO2 NOT WALK SOMETIMES	You do not walk in the afternoon sometimes.
123	NIGHT PT_PRO1 WALK	I walk at night.
124	NEXT-WEEK NEIGHBOUR RUN	The neighbour will run next week.
125	TODAY PT_PRO1 CAN WALK	I can walk today.
126	WEEKEND MAN WANT COOK ALWAYS	The man wants to cook on the weekend always.
127	MORNING PT_PRO3 CAN GO BUS-STOP	They can go to the bus stop in the morning.
128	WEEKEND PT_PRO1 WANT SEE SHOES FAST Q	I want to see shoes on the weekend quickly?
129	YESTERDAY PT_PRO1 LISTEN PODCAST	I listened to a podcast yesterday.
130	PT_PRO2 CALL FRIEND Q	Do you call my friend?
131	NEXT-WEEK DOCTOR EAT PIZZA Q	Will the doctor eat pizza next week?
132	NIGHT PT_PRO1 SEE MONEY Q	Do I see money at night?
133	WEEKEND NEIGHBOUR WALK	The neighbour walks on the weekend.
134	NEXT-WEEK PT_PRO2 RUN	You will run next week.
135	IF PT_PRO1 WORK THEN PT_PRO1 TIRED	If I work, then I am tired in the afternoon.
136	NOW COACH NOT WATCH PODCAST SOMETIMES	The coach does not watch a podcast now sometimes.
137	NOW PT_PRO2 SEE PHONE	You see my phone now.
138	NOW NEIGHBOUR NOT READ SHOES	The neighbour does not read shoes now.
139	TODAY PT_PRO2 NOT BUY SHOES	You do not buy shoes today.
140	MORNING PT_PRO1 MUST NOT CALL DAD	I must not call my dad in the morning.
141	NOW PT_PRO3 MEET COACH	They meet my coach now.
142	AFTERNOON CHILD CLEAN	The child cleans in the afternoon.
143	NIGHT PT_PRO3 COLD	They are cold at night.
144	NEXT-WEEK NEIGHBOUR LISTEN MUSIC	The neighbour will listen to music next week.
145	TOMORROW PT_PRO2 EMAIL DAD Q	Will you email my dad tomorrow?
146	NOW PT_PRO2 WANT WALK	You want to walk now.
147	WHY PT_PRO2 GO Q	Why Do you go now?
148	NIGHT WOMAN NOT CLEAN	The woman does not clean at night.
149	IF PT_PRO2 STUDY THEN PT_PRO2 HOT	If you study, then you are hot.
150	WHEN PT_PRO3 EAT Q	When Will they eat tomorrow?
151	TODAY MAN NOT WORK	The man does not work today.
152	IF LAST-WEEK PT_PRO2 GO BEACH THEN PT_PRO2 COLD	If you go to the beach, then you are cold.
153	PT_PRO3 LISTEN PODCAST	They listen to a podcast.
154	TODAY WOMAN LISTEN MUSIC	The woman listens to music today.
155	AFTERNOON PT_PRO3 WANT SEE CAR SLOW	They want to see a car in the afternoon slowly.
156	WEEKEND PT_PRO3 WORK	They work on the weekend.
157	WEEKEND PT_PRO1 BAD	I am bad on the weekend.
158	TODAY NEIGHBOUR TEXT NEIGHBOUR	The neighbour texts my neighbour today.
159	MORNING PT_PRO2 NOT SEE EMAIL	You do not see an email in the morning.
160	TOMORROW PT_PRO3 READY	They will be ready tomorrow.
161	PT_PRO1 NOT READ MONEY	I do not read money.
162	HOW PT_PRO3 COOK Q	How Will they cook next week?
163	YESTERDAY PT_PRO2 LISTEN PODCAST	You listened to a podcast yesterday.
164	NOW PT_PRO1 WATCH PODCAST	I watch a podcast now.
165	LAST-WEEK PT_PRO1 NOT EMAIL FRIEND ALWAYS	I did not email my friend last week always.
166	WEEKEND PT_PRO3 CAN WATCH PODCAST	They can watch a podcast on the weekend.
167	NOW PT_PRO1 MUST NOT COME CITY OFTEN	I must not come to the city now often.
168	NEXT-WEEK DOCTOR COOK Q	Will the doctor cook next week?
169	AFTERNOON TEACHER WANT NOT EMAIL FRIEND	The teacher does not want to email my friend in the afternoon.
170	LAST-WEEK CHILD CALL DAD SLOW Q	Did the child call my dad last week slowly?
171	TOMORROW DOCTOR SEE KEY Q	Will the doctor see my keys tomorrow?
172	NEXT-WEEK PT_PRO1 STUDY	I will study next week.
173	HOW STUDENT CLEAN Q	How Does the student clean at night?
174	NIGHT PT_PRO3 SEE EMAIL Q	Do they see an email at night?
175	WHEN TEACHER EAT FOOD Q	When Will the teacher eat next week?
176	MORNING PT_PRO3 EMAIL NEIGHBOUR	They email my neighbour in the morning.
177	WEEKEND PT_PRO1 TRAIN	I train on the weekend.
178	MORNING FRIEND SLEEP Q	Does my friend sleep in the morning?
179	PT_PRO3 CAN NOT READ MESSAGE	They cannot read a message.
180	TODAY NEIGHBOUR WANT READ MESSAGE	The neighbour wants to read a message today.
181	PT_PRO2 WATCH MOVIE Q	Do you watch a movie?
182	NEXT-WEEK PT_PRO1 TRAIN Q	Will I train next week?
183	LAST-WEEK PT_PRO1 PRACTISE	I practised last week.
184	WEEKEND WOMAN BAD	The woman is bad on the weekend.
185	NIGHT PT_PRO3 PRACTISE FAST Q	Do they practise at night quickly?
186	CHILD STUDY	The child studies.
187	NEXT-WEEK PT_PRO1 MUST COME SHOP	I must come to the shop next week.
188	AFTERNOON WOMAN NOT CLEAN	The woman does not clean in the afternoon.
189	PT_PRO1 GO PARK	I go to the park.
190	MORNING PT_PRO3 READ SHOES SOMETIMES Q	Do they read shoes in the morning sometimes?
191	NIGHT PT_PRO1 NOT SEE KEY	I do not see my keys at night.
192	NEXT-WEEK CHILD STUDY	The child will study next week.
193	NIGHT PT_PRO2 EMAIL DAD	You email my dad at night.
194	WHAT PT_PRO1 BUY Q	What Do I buy?
195	IF NEIGHBOUR WORK THEN NEIGHBOUR READY	If the neighbour works, then the neighbour is ready in the afternoon.
196	NOW CHILD RUN	The child runs now.
197	NEXT-WEEK PT_PRO1 NOT TRAIN FAST	I will not train next week quickly.
198	NEXT-WEEK PT_PRO3 MUST TEXT NEIGHBOUR	They must text my neighbour next week.
199	WHY COACH WORK Q	Why Does the coach work in the morning?
200	AFTERNOON PT_PRO3 WORK FAST	They work in the afternoon quickly.
201	AFTERNOON PT_PRO3 CAN EMAIL COACH	They can email my coach in the afternoon.
202	NIGHT COACH NOT EAT APPLE	The coach does not eat an apple at night.
203	TODAY PT_PRO1 MUST EMAIL TEACHER	I must email my teacher today.
204	NIGHT PT_PRO1 CAN WATCH MUSIC FAST	I can watch music at night quickly.
205	NIGHT NEIGHBOUR READ EMAIL RARELY Q	Does the neighbour read an email at night rarely?
206	NIGHT PT_PRO1 TEXT FRIEND	I text my friend at night.
207	NIGHT WOMAN SICK	The woman is sick at night.
208	WHO PT_PRO3 HELP Q	Who Do they help at night?
209	NIGHT COACH WAKE-UP	The coach wakes up at night.
210	WEEKEND PT_PRO2 CAN NOT DRINK COFFEE SLOW	You cannot drink coffee on the weekend slowly.
211	WHY NEIGHBOUR GO Q	Why Will the neighbour go tomorrow?
212	NEXT-WEEK PT_PRO1 EAT FOOD	I will eat food next week.
213	PT_PRO3 TEXT COACH	They text my coach.
214	NEXT-WEEK PT_PRO2 PRACTISE	You will practise next week.
215	LAST-WEEK PT_PRO3 BUY SHOES	They bought shoes last week.
216	TOMORROW PT_PRO3 CAN DRINK JUICE	They can drink juice tomorrow.
217	TOMORROW PT_PRO2 NOT WALK	You will not walk tomorrow.
218	NIGHT PT_PRO1 NOT CLEAN	I do not clean at night.
219	NIGHT PT_PRO2 GO BUS-STOP	You go to the bus stop at night.
220	MORNING PT_PRO2 WORK	You work in the morning.
221	YESTERDAY FRIEND NOT READ MONEY	My friend did not read money yesterday.
222	NIGHT PT_PRO1 READY	I am ready at night.
223	NEXT-WEEK PT_PRO2 STUDY	You will study next week.
224	TODAY NEIGHBOUR WAKE-UP RARELY	The neighbour wakes up today rarely.
225	TODAY CHILD CAN TRAIN	The child can train today.
226	TOMORROW STUDENT CAN DRINK JUICE Q	The student can drink juice tomorrow?
227	NOW PT_PRO1 TEXT NEIGHBOUR	I text my neighbour now.
228	TODAY PT_PRO2 STUDY SLOW	You study today slowly.
229	NOW PT_PRO3 WALK FAST	They walk now quickly.
230	NOW PT_PRO1 HOT	I am hot now.
231	WHEN PT_PRO2 SLEEP Q	When Do you sleep now?
232	LAST-WEEK PT_PRO2 BUSY	You were busy last week.
233	WHAT PT_PRO3 DRINK Q	What Do they drink now?
234	TOMORROW STUDENT WATCH MUSIC ALWAYS	The student will watch music tomorrow always.
235	PT_PRO3 NOT CALL MUM	They do not call my mum.
236	NEXT-WEEK PT_PRO1 CLEAN Q	Will I clean next week?
237	WEEKEND PT_PRO1 BUY BOOK	I buy a book on the weekend.
238	TODAY PT_PRO1 MUST BUY BAG	I must buy my bag today.
239	NIGHT PT_PRO1 WALK Q	Do I walk at night?
240	TODAY PT_PRO2 NOT SEE BOOK	You do not see a book today.
241	WHEN PT_PRO2 GO Q	When Do you go in the afternoon?
242	IF PT_PRO2 WORK THEN PT_PRO2 TIRED	If you work, then you are tired.
243	NOW PT_PRO1 SEE BAG ALWAYS	I see my bag now always.
244	MORNING STUDENT NOT DRINK WATER	The student does not drink water in the morning.
245	TOMORROW PT_PRO2 COOK	You will cook tomorrow.
246	PT_PRO2 WORK RARELY	You work rarely.
247	PT_PRO1 EAT RICE Q	Do I eat rice?
248	AFTERNOON PT_PRO1 SLEEP	I sleep in the afternoon.
249	YESTERDAY PT_PRO3 WORK Q	Did they work yesterday?
250	MORNING PT_PRO3 EMAIL COACH	They email my coach in the morning.
251	NOW PT_PRO2 PRACTISE RARELY	You practise now rarely.
252	MORNING PT_PRO1 NOT TRAIN	I do not train in the morning.
253	NOW CHILD SEE SHOES	The child sees shoes now.
254	TOMORROW DOCTOR CAN STUDY	The doctor can study tomorrow.
255	WEEKEND CHILD NOT BUY MESSAGE	The child does not buy a message on the weekend.
256	WEEKEND PT_PRO1 NOT PRACTISE	I do not practise on the weekend.
257	WHERE PT_PRO1 GO Q	Where Do I go in the morning?
258	NEXT-WEEK PT_PRO1 WORK RARELY Q	Will I work next week rarely?
259	TODAY PT_PRO3 BAD	They are bad today.
260	TODAY MAN STUDY	The man studies today.
261	PT_PRO1 EAT APPLE Q	Do I eat an apple?
262	NOW PT_PRO2 MUST NOT EAT RICE SOMETIMES	You must not eat rice now sometimes.
263	TEACHER NOT CALL FRIEND	The teacher does not call my friend.
264	WHEN PT_PRO2 STUDY Q	When Did you study yesterday?
265	MORNING PT_PRO1 CAN HELP DAD	I can help my dad in the morning.
266	HOW PT_PRO1 WALK Q	How Did I walk yesterday?
267	NIGHT PT_PRO3 TEXT DAD	They text my dad at night.
268	WHY FRIEND STUDY Q	Why Does my friend study?
269	YESTERDAY CHILD NOT TRAIN	The child did not train yesterday.
270	NOW DOCTOR NOT TRAIN	The doctor does not train now.
271	NEXT-WEEK PT_PRO1 EMAIL TEACHER	I will email my teacher next week.
272	TODAY PT_PRO3 TRAIN Q	Do they train today?
273	TODAY PT_PRO1 GO WORK	I go to work today.
274	NEXT-WEEK PT_PRO3 NOT MEET MUM ALWAYS	They will not meet my mum next week always.
275	WEEKEND MAN NOT SEE CAR	The man does not see a car on the weekend.
276	TODAY PT_PRO1 NOT WALK	I do not walk today.
277	TODAY PT_PRO3 SEE KEY	They see my keys today.
278	TOMORROW PT_PRO2 LISTEN MOVIE	You will listen to a movie tomorrow.
279	WHY PT_PRO1 TRAIN Q	Why Do I train in the morning?
280	NIGHT PT_PRO3 HAPPY	They are happy at night.
281	MORNING PT_PRO1 SEE EMAIL	I see an email in the morning.
282	IF PT_PRO1 TRAIN THEN PT_PRO1 HAPPY	If I train, then I am happy.
283	AFTERNOON PT_PRO2 WANT DRINK TEA	You want to drink tea in the afternoon.
284	PT_PRO2 NOT RUN	You do not run.
285	MORNING PT_PRO2 NOT EAT NOODLE	You do not eat noodles in the morning.
286	WHEN PT_PRO2 COOK Q	When Did you cook yesterday?
287	PT_PRO2 WANT EAT FOOD	You want to eat food.
288	YESTERDAY DOCTOR BAD	The doctor was bad yesterday.
289	AFTERNOON PT_PRO1 COOK	I cook in the afternoon.
290	WEEKEND PT_PRO2 MUST CLEAN SOMETIMES Q	You must clean on the weekend sometimes?
291	NEXT-WEEK PT_PRO2 NOT TRAIN	You will not train next week.
292	AFTERNOON PT_PRO2 NOT TEXT TEACHER	You do not text my teacher in the afternoon.
293	YESTERDAY PT_PRO1 READY	I was ready yesterday.
294	TODAY PT_PRO1 READ MESSAGE	I read a message today.
295	LAST-WEEK PT_PRO2 SEE CAR	You saw a car last week.
296	WOMAN LISTEN MUSIC	The woman listens to music.
297	WHY PT_PRO2 STUDY Q	Why Do you study on the weekend?
298	TODAY PT_PRO1 COOK Q	Do I cook today?
299	HOW PT_PRO1 WALK Q	How Do I walk in the afternoon?
300	FRIEND TEXT DAD	My friend texts my dad.
301	NOW PT_PRO2 WANT GO PARK SOMETIMES	You want to go to the park now sometimes.
302	LAST-WEEK MAN COLD	The man was cold last week.
303	YESTERDAY PT_PRO1 GO CITY	I went to the city yesterday.
304	NOW PT_PRO1 EMAIL NEIGHBOUR ALWAYS Q	Do I email my neighbour now always?
305	PT_PRO2 HELP COACH	You help my coach.
306	MORNING PT_PRO3 HELP DAD OFTEN	They help my dad in the morning often.
307	NOW PT_PRO1 MUST LISTEN MUSIC Q	I must listen to music now?
308	WHY COACH PRACTISE Q	Why Does the coach practise on the weekend?
309	WHAT STUDENT DRINK Q	What Does the student drink today?
310	WEEKEND PT_PRO1 CAN READ KEY	I can read my keys on the weekend.
311	PT_PRO3 NOT TEXT MUM	They do not text my mum.
312	PT_PRO3 EMAIL DAD SOMETIMES Q	Do they email my dad sometimes?
313	TOMORROW PT_PRO2 TEXT COACH	You will text my coach tomorrow.
314	IF PT_PRO2 WORK THEN PT_PRO2 SAD	If you work, then you are sad.
315	NEXT-WEEK PT_PRO3 WAKE-UP FAST	They will wake up next week quickly.
316	WEEKEND STUDENT WANT TRAIN Q	The student wants to train on the weekend?
317	NEXT-WEEK PT_PRO2 EAT PIZZA	You will eat pizza next week.
318	PT_PRO3 NOT COOK	They do not cook.
319	WHO PT_PRO1 HELP Q	Who Do I help in the morning?
320	AFTERNOON PT_PRO2 RUN RARELY	You run in the afternoon rarely.
321	NIGHT PT_PRO1 LISTEN MOVIE	I listen to a movie at night.
322	MORNING PT_PRO1 CALL NEIGHBOUR	I call my neighbour in the morning.
323	TODAY NEIGHBOUR STUDY	The neighbour studies today.
324	PT_PRO3 COLD	They are cold.
325	PT_PRO2 GO SHOP	You go to the shop.
326	MORNING CHILD PRACTISE	The child practises in the morning.
327	NIGHT PT_PRO2 TRAIN	You train at night.
328	YESTERDAY PT_PRO2 COME WORK	You came to work yesterday.
329	MORNING PT_PRO1 WANT NOT WATCH PODCAST	I do not want to watch a podcast in the morning.
330	WHY WOMAN STUDY Q	Why Does the woman study in the afternoon?
331	YESTERDAY PT_PRO1 WATCH MOVIE Q	Did I watch a movie yesterday?
332	WHO PT_PRO1 CALL Q	Who Do I call now?
333	LAST-WEEK PT_PRO3 READ MESSAGE	They read a message last week.
334	NOW PT_PRO2 CAN COOK	You can cook now.
335	AFTERNOON MAN NOT RUN	The man does not run in the afternoon.
336	MORNING MAN EAT APPLE Q	Does the man eat an apple in the morning?
337	AFTERNOON PT_PRO1 CAN WAKE-UP	I can wake up in the afternoon.
338	TOMORROW PT_PRO1 NOT TRAIN	I will not train tomorrow.
339	PT_PRO3 COOK	They cook.
340	NOW PT_PRO2 READ BOOK	You read a book now.
341	NOW TEACHER GO PARK	The teacher goes to the park now.
342	TODAY PT_PRO1 TRAIN Q	Do I train today?
343	LAST-WEEK PT_PRO1 EMAIL DAD	I emailed my dad last week.
344	NEXT-WEEK PT_PRO1 NOT CALL TEACHER SLOW	I will not call my teacher next week slowly.
345	WHAT PT_PRO2 DRINK Q	What Did you drink yesterday?
346	LAST-WEEK FRIEND PRACTISE	My friend practised last week.
347	NIGHT PT_PRO2 COME HOME	You come to home at night.
348	IF DOCTOR WORK THEN DOCTOR GOOD	If the doctor works, then the doctor is good in the morning.
349	AFTERNOON FRIEND BUY EMAIL	My friend buys an email in the afternoon.
350	NIGHT PT_PRO2 NOT RUN	You do not run at night.
351	TODAY PT_PRO2 WORK Q	Do you work today?
352	YESTERDAY PT_PRO3 NOT SLEEP SLOW	They did not sleep yesterday slowly.
353	TODAY FRIEND RUN	My friend runs today.
354	NEXT-WEEK PT_PRO3 EAT RICE	They will eat rice next week.
355	PT_PRO2 TEXT COACH Q	Do you text my coach?
356	WEEKEND PT_PRO2 NOT SEE BAG	You do not see my bag on the weekend.
357	NEXT-WEEK TEACHER BUSY	The teacher will be busy next week.
358	WEEKEND WOMAN CAN STUDY ALWAYS	The woman can study on the weekend always.
359	FRIEND MUST NOT MEET COACH SOMETIMES	My friend must not meet my coach sometimes.
360	MORNING PT_PRO2 STUDY	You study in the morning.
361	WHO PT_PRO1 MEET Q	Who Do I meet on the weekend?
362	YESTERDAY PT_PRO1 WALK	I walked yesterday.
363	TODAY PT_PRO2 READ MESSAGE Q	Do you read a message today?
364	NOW PT_PRO1 WANT CLEAN	I want to clean now.
365	HOW PT_PRO2 GO Q	How Do you go?
366	WHY PT_PRO2 STUDY Q	Why Do you study today?
367	TODAY DOCTOR MEET FRIEND	The doctor meets my friend today.
368	PT_PRO1 NOT STUDY	I do not study.
369	NOW PT_PRO2 MEET FRIEND RARELY Q	Do you meet my friend now rarely?
370	NEXT-WEEK PT_PRO1 GO WORK Q	Will I go to work next week?
371	NEXT-WEEK PT_PRO2 COOK	You will cook next week.
372	WEEKEND STUDENT RUN SLOW	The student runs on the weekend slowly.
373	NOW PT_PRO2 DRINK WATER	You drink water now.
374	NOW PT_PRO3 HAPPY	They are happy now.
375	WEEKEND PT_PRO3 CAN COOK ALWAYS	They can cook on the weekend always.
376	NEXT-WEEK CHILD WANT READ CAR Q	The child wants to read a car next week?
377	LAST-WEEK PT_PRO2 COOK	You cooked last week.
378	AFTERNOON PT_PRO2 EMAIL COACH Q	Do you email my coach in the afternoon?
379	WHEN PT_PRO1 CALL FRIEND Q	When Do I call now?
380	MORNING PT_PRO1 NOT COOK	I do not cook in the morning.
381	IF NIGHT PT_PRO1 GO WORK THEN PT_PRO1 READY	If I go to work, then I am ready at night.
382	NEXT-WEEK PT_PRO1 MUST HELP FRIEND	I must help my friend next week.
383	LAST-WEEK PT_PRO3 WATCH PODCAST Q	Did they watch a podcast last week?
384	PT_PRO3 GO BUS-STOP Q	Do they go to the bus stop?
385	AFTERNOON PT_PRO3 NOT READ MONEY	They do not read money in the afternoon.
386	PT_PRO3 WANT EMAIL FRIEND SOMETIMES	They want to email my friend sometimes.
387	WHO PT_PRO1 CALL Q	Who Did I call last week?
388	WHO COACH TEXT Q	Who Does the coach text?
389	IF PT_PRO1 TRAIN THEN PT_PRO1 SAD	If I train, then I am sad in the afternoon.
390	NOW PT_PRO1 WALK	I walk now.
391	AFTERNOON PT_PRO2 RUN Q	Do you run in the afternoon?
392	NIGHT COACH CAN NOT DRINK TEA SOMETIMES	The coach cannot drink tea at night sometimes.
393	HOW PT_PRO3 RUN Q	How Do they run?
394	WEEKEND PT_PRO2 NOT SLEEP	You do not sleep on the weekend.
395	IF TODAY WOMAN STUDY THEN WOMAN BUSY	If the woman studies, then the woman is busy today.
396	AFTERNOON PT_PRO2 NOT CALL NEIGHBOUR	You do not call my neighbour in the afternoon.
397	MORNING PT_PRO3 PRACTISE Q	Do they practise in the morning?
398	LAST-WEEK COACH NOT DRINK TEA	The coach did not drink tea last week.
399	TOMORROW PT_PRO1 WANT WALK	I want to walk tomorrow.
400	WHO PT_PRO3 MEET Q	Who Do they meet today?
401	WEEKEND PT_PRO1 WAKE-UP Q	Do I wake up on the weekend?
402	YESTERDAY PT_PRO3 TEXT COACH	They texted my coach yesterday.
403	TODAY CHILD WAKE-UP	The child wakes up today.
