clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_10_95_signer_READY_1,NS_SALLY LOOK PT_DEM3 WHAT READY GREAT YES GOOD,NS_SALLY(0.83) LOOK(0.71) PT_DEM3(0.71) WHAT(0.67) READY(0.66) GREAT(0.60) YES(0.56) GOOD(0.50),READY,False
video_11_70_signer_READY_1,GOOD FINISH READY WHAT YES LOOK PT_DEM3 PT_PRO1PL,GOOD(0.73) FINISH(0.71) READY(0.70) WHAT(0.61) YES(0.58) LOOK(0.57) PT_DEM3(0.56) PT_PRO1PL(0.52),READY,False
video_1_88_signer_FINISH_1,LOOK BYE CLOUD,LOOK(0.91) BYE(0.59) CLOUD(0.55),FINISH,False
video_1_96_signer_TIME_1,TIME GOOD MAKE WATCH PT_PRO1PL WHAT CAN FINISH HOW SEE PT_PRO2 KNOW,TIME(0.76) GOOD(0.68) MAKE(0.66) WATCH(0.63) PT_PRO1PL(0.63) WHAT(0.54) CAN(0.53) FINISH(0.52) HOW(0.49) SEE(0.48) PT_PRO2(0.47) KNOW(0.45),TIME,False
video_2_127_signer_TIME_1,FINISH CAN PT_PRO1PL PT_PRO1 GO PT_POSS1 NS_AMANDA PT_PRO2 READY KNOW MAKE,FINISH(0.61) CAN(0.61) PT_PRO1PL(0.60) PT_PRO1(0.60) GO(0.57) PT_POSS1(0.53) NS_AMANDA(0.53) PT_PRO2(0.51) READY(0.48) KNOW(0.48) MAKE(0.45),TIME,False
video_3_123_signer_TIME_1,BYE LOOK SEE,BYE(0.86) LOOK(0.61) SEE(0.50),TIME,False
video_4_126_signer_TIME_1,SEE KNOW PT_PRO1PL PT_PRO2 PT_POSS1 LOOK CAN FINISH HOW GO PT_PRO1 GOOD NOW TREE,SEE(0.75) KNOW(0.69) PT_PRO1PL(0.66) PT_PRO2(0.63) PT_POSS1(0.62) LOOK(0.61) CAN(0.56) FINISH(0.54) HOW(0.54) GO(0.53) PT_PRO1(0.51) GOOD(0.47) NOW(0.46) TREE(0.45),TIME,False
video_5_137_signer_TIME_1,OKAY KNOW TIME HOW BEACH FINISH SEE BYE GOOD PT_PRO1PL GO LOOK PT_PRO1 YES,OKAY(0.65) KNOW(0.61) TIME(0.60) HOW(0.57) BEACH(0.56) FINISH(0.55) SEE(0.55) BYE(0.53) GOOD(0.53) PT_PRO1PL(0.52) GO(0.52) LOOK(0.48) PT_PRO1(0.46) YES(0.46),TIME,False
video_6_125_signer_TIME_1,KNOW LOOK PT_POSS1 SEE PT_PRO1PL PT_PRO2 GO PT_PRO1,KNOW(0.69) LOOK(0.64) PT_POSS1(0.56) SEE(0.53) PT_PRO1PL(0.53) PT_PRO2(0.52) GO(0.49) PT_PRO1(0.48),TIME,False
video_7_123_signer_TIME_1,BYE GO OKAY SEE FINISH PT_PRO1PL READY PT_PRO2 KNOW PT_DEM3 LOOK GOOD,BYE(0.66) GO(0.65) OKAY(0.62) SEE(0.62) FINISH(0.59) PT_PRO1PL(0.58) READY(0.54) PT_PRO2(0.52) KNOW(0.51) PT_DEM3(0.49) LOOK(0.48) GOOD(0.47),TIME,False
video_8_82_signer_TIME_1,GO KNOW PT_PRO1PL FINISH SEE PT_DEM3 PT_PRO1 PT_POSS1 LOOK CAN GOOD READY NS_SALLY PT_PRO2 MAKE,GO(0.66) KNOW(0.61) PT_PRO1PL(0.60) FINISH(0.59) SEE(0.59) PT_DEM3(0.58) PT_PRO1(0.58) PT_POSS1(0.55) LOOK(0.53) CAN(0.51) GOOD(0.51) READY(0.48) NS_SALLY(0.47) PT_PRO2(0.46) MAKE(0.45),TIME,False
video_9_95_signer_TIME_1,FINISH CAN LOOK PT_POSS1 PT_PRO2 NS_SALLY GO SEE,FINISH(0.65) CAN(0.64) LOOK(0.62) PT_POSS1(0.57) PT_PRO2(0.56) NS_SALLY(0.56) GO(0.47) SEE(0.47),TIME,False
video_10_141_signer_TIME_1,BYE SEE LOOK NS_AMANDA PT_POSS1,BYE(0.73) SEE(0.72) LOOK(0.70) NS_AMANDA(0.57) PT_POSS1(0.47),TIME,False
video_11_67_signer_TIME_1,SEE NS_AMANDA BYE PT_POSS1 CAN LIGHT KNOW FINISH PT_PRO1PL PT_PRO2 GO PT_PRO1 SIZE TREE,SEE(0.81) NS_AMANDA(0.79) BYE(0.69) PT_POSS1(0.68) CAN(0.66) LIGHT(0.59) KNOW(0.59) FINISH(0.59) PT_PRO1PL(0.58) PT_PRO2(0.55) GO(0.54) PT_PRO1(0.49) SIZE(0.49) TREE(0.47),TIME,False
video_11_124_signer_TIME_1,YES PT_DEM3 GO LOOK KNOW PT_PRO3PL NS_SALLY NS_POSSUM,YES(0.58) PT_DEM3(0.55) GO(0.55) LOOK(0.54) KNOW(0.49) PT_PRO3PL(0.48) NS_SALLY(0.45) NS_POSSUM(0.45),TIME,False
video_12_115_signer_TIME_1,LOOK FINISH CAN,LOOK(0.74) FINISH(0.51) CAN(0.49),TIME,False
video_13_154_signer_TIME_1,LOOK BYE,LOOK(0.81) BYE(0.67),TIME,False
video_14_48_signer_TIME_1,YES GREAT PT_DEM3 GOOD LOOK FINISH READY PT_PRO3,YES(0.83) GREAT(0.82) PT_DEM3(0.73) GOOD(0.70) LOOK(0.66) FINISH(0.51) READY(0.51) PT_PRO3(0.46),TIME,False
video_14_131_signer_TIME_1,PT_PRO1PL WATCH GOOD WHAT FINISH KNOW PT_PRO2 MAKE,PT_PRO1PL(0.61) WATCH(0.58) GOOD(0.58) WHAT(0.50) FINISH(0.47) KNOW(0.46) PT_PRO2(0.46) MAKE(0.46),TIME,False
video_15_144_signer_TIME_1,BYE READY ALL PT_PRO1PL FINISH YES,BYE(0.60) READY(0.54) ALL(0.52) PT_PRO1PL(0.47) FINISH(0.47) YES(0.46),TIME,False
video_16_189_signer_TIME_1,BYE LOOK SEE,BYE(0.79) LOOK(0.62) SEE(0.53),TIME,False
video_17_56_signer_TIME_1,WATCH FINISH PT_PRO1PL YES OKAY GOOD GO RIGHT LOOK,WATCH(0.57) FINISH(0.55) PT_PRO1PL(0.54) YES(0.52) OKAY(0.52) GOOD(0.52) GO(0.49) RIGHT(0.49) LOOK(0.47),TIME,False
video_17_136_signer_TIME_1,NS_AMANDA CAN PT_PRO1PL GO NS_POSSUM FINISH NS_SALLY PT_POSS1 PT_PRO1 SEE EVERYONE READY,NS_AMANDA(0.81) CAN(0.71) PT_PRO1PL(0.68) GO(0.66) NS_POSSUM(0.62) FINISH(0.60) NS_SALLY(0.57) PT_POSS1(0.55) PT_PRO1(0.49) SEE(0.49) EVERYONE(0.47) READY(0.46),TIME,False
video_18_167_signer_TIME_1,GO OKAY FINISH BYE PT_PRO1PL TIME YES GOOD PT_DEM3 KNOW GREAT READY PT_PRO2,GO(0.61) OKAY(0.60) FINISH(0.58) BYE(0.58) PT_PRO1PL(0.57) TIME(0.55) YES(0.55) GOOD(0.52) PT_DEM3(0.49) KNOW(0.49) GREAT(0.48) READY(0.47) PT_PRO2(0.45),TIME,False
video_19_180_signer_TIME_1,CAN MAKE SEE PT_POSS1 NS_AMANDA THINK PT_PRO1 PT_PRO1PL GO NS_POSSUM PT_PRO2 FINISH KNOW TIME HAVE GOOD WHAT READY PT_PRO3,CAN(0.81) MAKE(0.77) SEE(0.70) PT_POSS1(0.70) NS_AMANDA(0.70) THINK(0.69) PT_PRO1(0.66) PT_PRO1PL(0.63) GO(0.60) NS_POSSUM(0.60) PT_PRO2(0.59) FINISH(0.57) KNOW(0.54) TIME(0.52) HAVE(0.51) GOOD(0.51) WHAT(0.49) READY(0.46) PT_PRO3(0.46),TIME,False
video_20_140_signer_TIME_1,GO PT_DEM3 PT_PRO1PL KNOW LOOK READY NS_POSSUM PT_PRO2 FINISH SEE OKAY PT_PRO1 YES GREAT,GO(0.68) PT_DEM3(0.59) PT_PRO1PL(0.56) KNOW(0.54) LOOK(0.54) READY(0.52) NS_POSSUM(0.49) PT_PRO2(0.49) FINISH(0.49) SEE(0.48) OKAY(0.47) PT_PRO1(0.46) YES(0.46) GREAT(0.45),TIME,False
video_21_185_signer_TIME_1,MAKE PT_PRO2 PT_POSS1 SEE CAN FINISH PT_PRO1PL PT_PRO1 GOOD LOOK TIME THINK NS_AMANDA BEACH HAVE,MAKE(0.81) PT_PRO2(0.68) PT_POSS1(0.67) SEE(0.65) CAN(0.63) FINISH(0.62) PT_PRO1PL(0.61) PT_PRO1(0.60) GOOD(0.59) LOOK(0.58) TIME(0.57) THINK(0.56) NS_AMANDA(0.56) BEACH(0.51) HAVE(0.50),TIME,False
video_22_33_signer_TIME_1,FINISH READY GOOD GO YES PT_PRO1PL TIME PT_DEM3 NOW PT_PRO2 KNOW WHAT,FINISH(0.69) READY(0.59) GOOD(0.58) GO(0.56) YES(0.55) PT_PRO1PL(0.55) TIME(0.51) PT_DEM3(0.50) NOW(0.49) PT_PRO2(0.47) KNOW(0.45) WHAT(0.45),TIME,False
video_22_218_signer_TIME_1,LOOK NS_SALLY PT_POSS1 KNOW PT_PRO2 GO,LOOK(0.64) NS_SALLY(0.53) PT_POSS1(0.52) KNOW(0.51) PT_PRO2(0.47) GO(0.47),TIME,False
video_23_153_signer_TIME_1,LOOK READY THROUGH GO HERE PT_DEM3 NS_SALLY DRAW WHAT,LOOK(0.71) READY(0.59) THROUGH(0.55) GO(0.55) HERE(0.49) PT_DEM3(0.49) NS_SALLY(0.48) DRAW(0.46) WHAT(0.45),TIME,False
video_24_10_signer_TIME_1,READY FINISH GOOD NOW GO TOAST TIME WHAT MAKE PT_DEM3 SEE YES PT_PRO1 PT_PRO1PL PT_PRO2 KNOW,READY(0.69) FINISH(0.69) GOOD(0.65) NOW(0.59) GO(0.54) TOAST(0.54) TIME(0.53) WHAT(0.52) MAKE(0.51) PT_DEM3(0.51) SEE(0.51) YES(0.51) PT_PRO1(0.50) PT_PRO1PL(0.47) PT_PRO2(0.46) KNOW(0.45),TIME,False
video_24_161_signer_TIME_1,TIME PT_PRO1PL FINISH GOOD CAN MAKE GO PT_PRO2 KNOW YES WHAT SEE,TIME(0.73) PT_PRO1PL(0.62) FINISH(0.61) GOOD(0.59) CAN(0.57) MAKE(0.56) GO(0.55) PT_PRO2(0.54) KNOW(0.54) YES(0.50) WHAT(0.45) SEE(0.45),TIME,False
video_25_128_signer_TIME_1,SEE NS_AMANDA PT_PRO1PL PT_POSS1 SIZE KNOW GOOD CAN PT_PRO2 LOOK MAKE PT_PRO1 BYE GO,SEE(0.73) NS_AMANDA(0.71) PT_PRO1PL(0.60) PT_POSS1(0.57) SIZE(0.57) KNOW(0.56) GOOD(0.55) CAN(0.54) PT_PRO2(0.54) LOOK(0.53) MAKE(0.47) PT_PRO1(0.47) BYE(0.46) GO(0.45),TIME,False
video_26_35_signer_TIME_1,SEE PT_POSS1 LOOK MAKE FINISH CAN PT_PRO2 PT_PRO1PL BEACH PT_PRO1 NS_AMANDA,SEE(0.69) PT_POSS1(0.69) LOOK(0.68) MAKE(0.63) FINISH(0.63) CAN(0.60) PT_PRO2(0.58) PT_PRO1PL(0.55) BEACH(0.52) PT_PRO1(0.52) NS_AMANDA(0.51),TIME,False
video_26_37_signer_TIME_1,CAN PT_PRO1 KNOW SEE NS_POSSUM MAKE THINK GOOD PT_PRO1PL YES WHAT FINISH PT_PRO2 GO,CAN(0.71) PT_PRO1(0.62) KNOW(0.61) SEE(0.56) NS_POSSUM(0.56) MAKE(0.56) THINK(0.55) GOOD(0.51) PT_PRO1PL(0.50) YES(0.48) WHAT(0.48) FINISH(0.48) PT_PRO2(0.48) GO(0.46),TIME,False
video_26_73_signer_TIME_1,FINISH GOOD READY YES PT_DEM3 RIGHT PT_PRO1PL WHAT KNOW,FINISH(0.71) GOOD(0.70) READY(0.66) YES(0.65) PT_DEM3(0.49) RIGHT(0.49) PT_PRO1PL(0.47) WHAT(0.47) KNOW(0.46),TIME,False
video_26_144_signer_TIME_1,BYE SEE KNOW LOOK GO PT_PRO1PL PT_PRO2 PT_POSS1 FINISH READY NS_AMANDA NOW,BYE(0.69) SEE(0.65) KNOW(0.58) LOOK(0.57) GO(0.57) PT_PRO1PL(0.57) PT_PRO2(0.53) PT_POSS1(0.48) FINISH(0.48) READY(0.48) NS_AMANDA(0.46) NOW(0.45),TIME,False
video_27_157_signer_TIME_1,LOOK PT_PRO2 GOOD WATCH FINISH SIZE PT_PRO1PL TIME SEE,LOOK(0.75) PT_PRO2(0.59) GOOD(0.56) WATCH(0.55) FINISH(0.55) SIZE(0.55) PT_PRO1PL(0.52) TIME(0.47) SEE(0.46),TIME,False
video_28_108_signer_TIME_1,READY FINISH SEE NOW GOOD NEXT WHAT PT_DEM3 MAKE GO PT_PRO1 TOAST RIGHT YES,READY(0.75) FINISH(0.69) SEE(0.65) NOW(0.63) GOOD(0.62) NEXT(0.59) WHAT(0.59) PT_DEM3(0.58) MAKE(0.58) GO(0.51) PT_PRO1(0.50) TOAST(0.49) RIGHT(0.49) YES(0.45),TIME,False
video_28_171_signer_TIME_1,LOOK BYE NS_SALLY GO READY,LOOK(0.66) BYE(0.55) NS_SALLY(0.53) GO(0.52) READY(0.49),TIME,False
video_29_207_signer_TIME_1,SEE KNOW LOOK PT_POSS1 PT_PRO2 CAN TREE NS_AMANDA BYE PT_PRO1 PT_PRO1PL GOOD GO,SEE(0.77) KNOW(0.61) LOOK(0.60) PT_POSS1(0.60) PT_PRO2(0.59) CAN(0.56) TREE(0.53) NS_AMANDA(0.51) BYE(0.51) PT_PRO1(0.50) PT_PRO1PL(0.48) GOOD(0.47) GO(0.45),TIME,False
video_30_204_signer_TIME_1,GOOD WHAT YES FINISH PT_DEM3 KNOW PT_PRO1 GREAT NS_SALLY,GOOD(0.69) WHAT(0.61) YES(0.58) FINISH(0.58) PT_DEM3(0.57) KNOW(0.56) PT_PRO1(0.55) GREAT(0.46) NS_SALLY(0.45),TIME,False
video_31_127_signer_TIME_1,WHAT TIME FINISH GOOD PT_DEM3 YES SEE RIGHT MAKE PT_PRO1 PT_PRO2 READY KNOW NEXT,WHAT(0.66) TIME(0.64) FINISH(0.64) GOOD(0.63) PT_DEM3(0.57) YES(0.55) SEE(0.52) RIGHT(0.51) MAKE(0.50) PT_PRO1(0.49) PT_PRO2(0.49) READY(0.49) KNOW(0.47) NEXT(0.46),TIME,False
video_31_140_signer_TIME_1,NS_AMANDA MAKE PT_PRO1PL GOOD FINISH BEACH PT_PRO1 KNOW PT_PRO2 GO WHAT READY CAN PT_DEM3 SEE,NS_AMANDA(0.74) MAKE(0.68) PT_PRO1PL(0.67) GOOD(0.64) FINISH(0.61) BEACH(0.57) PT_PRO1(0.56) KNOW(0.54) PT_PRO2(0.53) GO(0.52) WHAT(0.51) READY(0.48) CAN(0.48) PT_DEM3(0.47) SEE(0.45),TIME,False
video_32_162_signer_TIME_1,FINISH TIME YES PT_PRO2 GO PT_PRO1PL GOOD READY NOW NS_POSSUM CAN,FINISH(0.69) TIME(0.63) YES(0.59) PT_PRO2(0.58) GO(0.58) PT_PRO1PL(0.57) GOOD(0.54) READY(0.52) NOW(0.51) NS_POSSUM(0.49) CAN(0.47),TIME,False
video_33_162_signer_TIME_1,GOOD PT_PRO1PL PT_PRO2 FINISH YES TIME NOW GO WATCH,GOOD(0.62) PT_PRO1PL(0.58) PT_PRO2(0.55) FINISH(0.52) YES(0.50) TIME(0.49) NOW(0.48) GO(0.48) WATCH(0.46),TIME,False
video_34_160_signer_TIME_1,LOOK CLOUD,LOOK(0.98) CLOUD(0.84),TIME,False
video_35_160_signer_TIME_1,BYE SEE GO OKAY FINISH PT_PRO1PL KNOW PT_PRO2 READY LOOK PT_DEM3 CAN CORRECT,BYE(0.82) SEE(0.74) GO(0.68) OKAY(0.67) FINISH(0.63) PT_PRO1PL(0.59) KNOW(0.58) PT_PRO2(0.56) READY(0.49) LOOK(0.47) PT_DEM3(0.47) CAN(0.46) CORRECT(0.45),TIME,False
video_36_223_signer_TIME_1,MAKE PT_PRO1 GOOD FINISH KNOW PT_POSS1 PT_PRO1PL WHAT TIME PT_PRO2 GO CAN THINK SEE NS_AMANDA,MAKE(0.68) PT_PRO1(0.62) GOOD(0.62) FINISH(0.59) KNOW(0.58) PT_POSS1(0.57) PT_PRO1PL(0.57) WHAT(0.54) TIME(0.54) PT_PRO2(0.53) GO(0.52) CAN(0.51) THINK(0.50) SEE(0.50) NS_AMANDA(0.47),TIME,False
video_38_138_signer_TIME_1,BYE GO OKAY PT_PRO1PL LOOK YES PT_DEM3 NS_POSSUM KNOW HELLO SEE,BYE(0.74) GO(0.62) OKAY(0.55) PT_PRO1PL(0.51) LOOK(0.50) YES(0.50) PT_DEM3(0.49) NS_POSSUM(0.48) KNOW(0.47) HELLO(0.47) SEE(0.46),TIME,False
video_1_91_signer_KNOW_1,BYE EVERYONE HELLO,BYE(0.91) EVERYONE(0.70) HELLO(0.48),KNOW,False
video_2_69_signer_KNOW_1,KNOW PT_DEM3 YES SEE EVERYONE PT_PRO1,KNOW(0.78) PT_DEM3(0.59) YES(0.55) SEE(0.46) EVERYONE(0.46) PT_PRO1(0.45),KNOW,False
video_3_118_signer_KNOW_1,BYE GO OKAY SEE EVERYONE NS_POSSUM KNOW HELLO CAN,BYE(0.91) GO(0.63) OKAY(0.62) SEE(0.56) EVERYONE(0.55) NS_POSSUM(0.52) KNOW(0.48) HELLO(0.48) CAN(0.46),KNOW,False
video_7_28_signer_KNOW_1,EVERYONE KNOW BYE GO HELLO YES,EVERYONE(0.84) KNOW(0.81) BYE(0.59) GO(0.51) HELLO(0.49) YES(0.46),KNOW,False
video_7_84_signer_KNOW_1,YES GREAT PT_DEM3 KNOW,YES(0.70) GREAT(0.64) PT_DEM3(0.51) KNOW(0.48),KNOW,False
video_8_30_signer_KNOW_1,BYE EVERYONE HELLO,BYE(1.00) EVERYONE(0.97) HELLO(0.96),KNOW,False
video_10_51_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.89) EVERYONE(0.87),KNOW,False
video_10_119_signer_KNOW_1,BYE NS_POSSUM HELLO OKAY GO LOOK,BYE(0.94) NS_POSSUM(0.57) HELLO(0.57) OKAY(0.55) GO(0.51) LOOK(0.49),KNOW,False
video_11_77_signer_KNOW_1,BYE HELLO EVERYONE OK LOOK GO YES,BYE(0.77) HELLO(0.51) EVERYONE(0.51) OK(0.49) LOOK(0.48) GO(0.48) YES(0.46),KNOW,False
video_12_20_signer_KNOW_1,BYE HELLO,BYE(0.89) HELLO(0.64),KNOW,False
video_12_53_signer_KNOW_1,BYE EVERYONE HELLO YES GREAT,BYE(0.91) EVERYONE(0.72) HELLO(0.69) YES(0.54) GREAT(0.46),KNOW,False
video_12_91_signer_KNOW_1,YES GREAT LOOK,YES(0.79) GREAT(0.69) LOOK(0.60),KNOW,False
video_13_23_signer_KNOW_1,BYE EVERYONE HELLO,BYE(0.93) EVERYONE(0.68) HELLO(0.59),KNOW,False
video_14_80_signer_KNOW_1,BYE EVERYONE HELLO KNOW,BYE(0.90) EVERYONE(0.89) HELLO(0.62) KNOW(0.60),KNOW,False
video_15_74_signer_KNOW_1,BYE HELLO NS_POSSUM EVERYONE,BYE(0.94) HELLO(0.94) NS_POSSUM(0.75) EVERYONE(0.50),KNOW,False
video_15_84_signer_KNOW_1,BYE NS_POSSUM HELLO,BYE(0.87) NS_POSSUM(0.85) HELLO(0.82),KNOW,False
video_16_15_signer_KNOW_1,EVERYONE KNOW BYE HELLO NS_POSSUM PT_DEM3 GO GREAT YES CAN,EVERYONE(0.85) KNOW(0.79) BYE(0.55) HELLO(0.54) NS_POSSUM(0.53) PT_DEM3(0.52) GO(0.51) GREAT(0.49) YES(0.49) CAN(0.46),KNOW,False
video_16_37_signer_KNOW_1,BYE GO OKAY GREAT YES NS_POSSUM EVERYONE PT_PRO1PL,BYE(0.79) GO(0.64) OKAY(0.58) GREAT(0.56) YES(0.55) NS_POSSUM(0.47) EVERYONE(0.47) PT_PRO1PL(0.47),KNOW,False
video_17_33_signer_KNOW_1,EVERYONE BYE HELLO NS_POSSUM,EVERYONE(0.88) BYE(0.84) HELLO(0.66) NS_POSSUM(0.56),KNOW,False
video_19_24_signer_KNOW_1,BYE KNOW GO CAN EVERYONE WHERE SOCCER PT_PRO2 PT_PRO1PL SEE YES NS_POSSUM PT_DEM3 OKAY,BYE(0.80) KNOW(0.77) GO(0.69) CAN(0.65) EVERYONE(0.53) WHERE(0.53) SOCCER(0.53) PT_PRO2(0.52) PT_PRO1PL(0.52) SEE(0.51) YES(0.51) NS_POSSUM(0.47) PT_DEM3(0.47) OKAY(0.46),KNOW,False
video_19_65_signer_KNOW_1,LOOK,LOOK(0.98),KNOW,False
video_19_82_signer_KNOW_1,EVERYONE BYE KNOW HELLO GO,EVERYONE(0.91) BYE(0.69) KNOW(0.63) HELLO(0.57) GO(0.45),KNOW,False
video_20_45_signer_KNOW_1,EVERYONE HELLO GREAT YES,EVERYONE(0.88) HELLO(0.72) GREAT(0.48) YES(0.45),KNOW,False
video_20_77_signer_KNOW_1,GREAT YES HELLO LOOK,GREAT(0.66) YES(0.63) HELLO(0.50) LOOK(0.46),KNOW,False
video_20_121_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.62) EVERYONE(0.54),KNOW,False
video_21_117_signer_KNOW_1,YES GREAT PT_DEM3,YES(0.63) GREAT(0.60) PT_DEM3(0.47),KNOW,False
video_21_151_signer_KNOW_1,BYE EVERYONE HELLO,BYE(0.99) EVERYONE(0.92) HELLO(0.82),KNOW,False
video_22_15_signer_KNOW_1,BYE EVERYONE HELLO,BYE(0.99) EVERYONE(0.92) HELLO(0.84),KNOW,False
video_22_47_signer_KNOW_1,BYE EVERYONE HELLO,BYE(0.96) EVERYONE(0.83) HELLO(0.54),KNOW,False
video_22_75_signer_KNOW_1,BYE GO SEE KNOW EVERYONE NS_POSSUM CAN OKAY HELLO,BYE(0.90) GO(0.64) SEE(0.62) KNOW(0.61) EVERYONE(0.60) NS_POSSUM(0.52) CAN(0.52) OKAY(0.48) HELLO(0.45),KNOW,False
