clip,predicted_glosses,predicted_with_confidence,ground_truth
video_3_49,MAKE CAN HAVE PT_POSS1 MANY PT_PRO1 SEE BUT PT_PRO2 PT_PRO1PL LEARN PT_PRO3 AND PT_PRO3PL PT_DEM3 DIFFERENT USE TIME NEED EAT GO WATCH NS_SALLY PT_LOC NOW NOT BIG THING FINISH LIKE BECAUSE FLY WORK PT_POSS2 TREE WHY SAME HERE LOOK THEN SMALL GOOD WELL LOVE NS_POSSUM THINK KNOW YES CHILD GET,MAKE(0.68) CAN(0.64) HAVE(0.63) PT_POSS1(0.61) MANY(0.59) PT_PRO1(0.59) SEE(0.59) BUT(0.58) PT_PRO2(0.57) PT_PRO1PL(0.55) LEARN(0.52) PT_PRO3(0.50) AND(0.49) PT_PRO3PL(0.49) PT_DEM3(0.48) DIFFERENT(0.48) USE(0.47) TIME(0.47) NEED(0.47) EAT(0.47) GO(0.46) WATCH(0.45) NS_SALLY(0.45) PT_LOC(0.44) NOW(0.44) NOT(0.44) BIG(0.44) THING(0.43) FINISH(0.43) LIKE(0.42) BECAUSE(0.42) FLY(0.41) WORK(0.41) PT_POSS2(0.40) TREE(0.40) WHY(0.40) SAME(0.39) HERE(0.39) LOOK(0.39) THEN(0.39) SMALL(0.39) GOOD(0.39) WELL(0.38) LOVE(0.38) NS_POSSUM(0.38) THINK(0.37) KNOW(0.36) YES(0.36) CHILD(0.36) GET(0.36),DRY NOW
video_3_67,NOT WATCH MANY PT_PRO1PL WHY LEARN HAVE BIG SEE DIFFERENT MAKE GO CAN YES DO CHILD NS_POSSUM LOOK TREE IDEA RAIN PT_PRO2 CHILDREN GOOD THING PT_DEM3,NOT(0.72) WATCH(0.67) MANY(0.62) PT_PRO1PL(0.62) WHY(0.61) LEARN(0.59) HAVE(0.58) BIG(0.56) SEE(0.55) DIFFERENT(0.52) MAKE(0.51) GO(0.48) CAN(0.43) YES(0.43) DO(0.43) CHILD(0.42) NS_POSSUM(0.42) LOOK(0.41) TREE(0.39) IDEA(0.39) RAIN(0.38) PT_PRO2(0.38) CHILDREN(0.37) GOOD(0.37) THING(0.37) PT_DEM3(0.36),BUT DRY NOW PT_POSS1 WET
video_3_78,GREAT RIGHT GOOD OK YES LOOK OKAY PT_DEM3 YEAH FUNNY WATCH WHAT SEE,GREAT(0.86) RIGHT(0.72) GOOD(0.63) OK(0.63) YES(0.62) LOOK(0.61) OKAY(0.61) PT_DEM3(0.57) YEAH(0.47) FUNNY(0.42) WATCH(0.41) WHAT(0.40) SEE(0.38),NS_POSSUM
video_3_96,YES GREAT PT_DEM3 RIGHT WHAT LOVELY LOOK GOOD PT_PRO2 DO BIT,YES(0.79) GREAT(0.77) PT_DEM3(0.73) RIGHT(0.72) WHAT(0.67) LOVELY(0.61) LOOK(0.53) GOOD(0.53) PT_PRO2(0.44) DO(0.40) BIT(0.39),LIKE PT_PRO2 SOME TRY
video_3_115,NS_SALLY THANK-YOU COME GREAT NS_SKIP GO COME-ON NS_JAY NS_AMANDA PT_DEM3 NS_POSSUM YES QUICK OKAY HERE HELLO WAIT LOOK PT_PRO1PL WHAT PT_PRO2 PT_PRO1 READY YOU HELP PT_LOC,NS_SALLY(0.71) THANK-YOU(0.63) COME(0.62) GREAT(0.60) NS_SKIP(0.55) GO(0.50) COME-ON(0.47) NS_JAY(0.45) NS_AMANDA(0.45) PT_DEM3(0.45) NS_POSSUM(0.44) YES(0.43) QUICK(0.43) OKAY(0.43) HERE(0.42) HELLO(0.41) WAIT(0.40) LOOK(0.40) PT_PRO1PL(0.39) WHAT(0.38) PT_PRO2(0.38) PT_PRO1(0.37) READY(0.36) YOU(0.36) HELP(0.36) PT_LOC(0.35),NS_SALLY SIGN
video_4_8,PT_POSS1 YES NS_SALLY PT_PRO1 PT_PRO2 CAN PT_DEM3 NS_POSSUM NOW GO PT_PRO1PL PT_PRO3 PT_POSS2 GREAT WHAT HAVE NOT LOOK NO PLAY SEE FINISH LIKE VERY WHERE LOVE BUT KNOW,PT_POSS1(0.66) YES(0.64) NS_SALLY(0.56) PT_PRO1(0.56) PT_PRO2(0.55) CAN(0.51) PT_DEM3(0.50) NS_POSSUM(0.49) NOW(0.49) GO(0.47) PT_PRO1PL(0.46) PT_PRO3(0.46) PT_POSS2(0.44) GREAT(0.44) WHAT(0.44) HAVE(0.43) NOT(0.43) LOOK(0.41) NO(0.41) PLAY(0.41) SEE(0.39) FINISH(0.38) LIKE(0.38) VERY(0.37) WHERE(0.37) LOVE(0.37) BUT(0.36) KNOW(0.35),HAPPY NS_POSSUM PT_PRO1 SAME YES
video_4_9,HELLO GREAT LOOK BYE NO NS_SALLY NS_POSSUM PT_LOC PT_PRO1 PT_DEM3 COME-ON HI HAVE YES EVERYONE GO PT_PRO1PL GOOD PT_PRO3 WHAT NS_SKIP BIG,HELLO(0.67) GREAT(0.62) LOOK(0.58) BYE(0.57) NO(0.55) NS_SALLY(0.51) NS_POSSUM(0.51) PT_LOC(0.47) PT_PRO1(0.46) PT_DEM3(0.46) COME-ON(0.43) HI(0.41) HAVE(0.41) YES(0.40) EVERYONE(0.40) GO(0.39) PT_PRO1PL(0.39) GOOD(0.39) PT_PRO3(0.39) WHAT(0.38) NS_SKIP(0.38) BIG(0.35),NS_POSSUM
video_4_45,YES GREAT FUNNY WHAT PT_DEM3 LOOK IDEA RIGHT KNOW NS_POSSUM BEAUTIFUL DO SEE PT_PRO2 PT_PRO3 GOOD HAVE LOVELY NO PT_PRO1 DELICIOUS,YES(0.79) GREAT(0.75) FUNNY(0.74) WHAT(0.70) PT_DEM3(0.69) LOOK(0.69) IDEA(0.69) RIGHT(0.64) KNOW(0.55) NS_POSSUM(0.55) BEAUTIFUL(0.52) DO(0.51) SEE(0.46) PT_PRO2(0.46) PT_PRO3(0.46) GOOD(0.45) HAVE(0.44) LOVELY(0.40) NO(0.40) PT_PRO1(0.37) DELICIOUS(0.36),WATCH
video_4_53,HELLO HI EVERYONE BYE GOOD NS_POSSUM NS_SALLY MORNING,HELLO(0.97) HI(0.84) EVERYONE(0.84) BYE(0.82) GOOD(0.55) NS_POSSUM(0.51) NS_SALLY(0.46) MORNING(0.42),QUESTION YES
video_4_72,NS_SALLY PT_PRO1 PT_DEM3 HAVE PT_POSS1 NEED WHAT CAN GO MAKE NOW KNOW PT_PRO1PL LOOK PT_PRO2 NS_POSSUM GOOD READY PT_PRO3PL GREAT VERY GET MANY,NS_SALLY(0.74) PT_PRO1(0.61) PT_DEM3(0.56) HAVE(0.54) PT_POSS1(0.53) NEED(0.51) WHAT(0.51) CAN(0.49) GO(0.49) MAKE(0.49) NOW(0.48) KNOW(0.48) PT_PRO1PL(0.46) LOOK(0.44) PT_PRO2(0.43) NS_POSSUM(0.43) GOOD(0.42) READY(0.42) PT_PRO3PL(0.40) GREAT(0.38) VERY(0.38) GET(0.38) MANY(0.38),BEAUTIFUL COLOR LOOK MANY
video_4_82,NOW PT_DEM3 LOOK ONE PUT NEED PT_PRO1PL TWO WHAT CAN FOUR PT_PRO2 HAVE SEE GET PT_LOC DO NS_POSSUM,NOW(0.81) PT_DEM3(0.72) LOOK(0.66) ONE(0.65) PUT(0.64) NEED(0.62) PT_PRO1PL(0.59) TWO(0.56) WHAT(0.55) CAN(0.49) FOUR(0.47) PT_PRO2(0.45) HAVE(0.45) SEE(0.43) GET(0.41) PT_LOC(0.38) DO(0.37) NS_POSSUM(0.35),BE PT_DEM3 SOFT VERY YES
video_4_86,STORY MAKE PT_PRO1 NS_SALLY WANT WOOL PT_POSS2 GIVE PT_POSS1 PT_PRO3 BUT NOW MORE VERY THINK WELL PT_PRO1PL NEED AND HAVE TELL LOVE GO BECAUSE FRIEND SO CAN FINISH LEARN HARD PT_PRO2 COME COULD WHAT USE MANY PT_DEM3 SOLVE HOUSE GOOD NICE SAME PULL THEN WHY NOT KITCHEN BOX PUSH FOOD DO INSIDE HERE NS_POSSUM KNOW SAY LIKE SOMETHING LUNCH PLAY HOW PT_POSS3 EAT WAY NS_SKIP ALL OR MUCH COLD SURPRISE THING YET BEFORE HAPPEN GET GREAT WILL,STORY(0.76) MAKE(0.70) PT_PRO1(0.67) NS_SALLY(0.64) WANT(0.64) WOOL(0.63) PT_POSS2(0.62) GIVE(0.61) PT_POSS1(0.61) PT_PRO3(0.60) BUT(0.60) NOW(0.60) MORE(0.59) VERY(0.58) THINK(0.57) WELL(0.57) PT_PRO1PL(0.57) NEED(0.57) AND(0.57) HAVE(0.56) TELL(0.55) LOVE(0.55) GO(0.54) BECAUSE(0.54) FRIEND(0.52) SO(0.52) CAN(0.52) FINISH(0.52) LEARN(0.51) HARD(0.50) PT_PRO2(0.50) COME(0.50) COULD(0.49) WHAT(0.49) USE(0.49) MANY(0.49) PT_DEM3(0.48) SOLVE(0.48) HOUSE(0.47) GOOD(0.47) NICE(0.47) SAME(0.47) PULL(0.46) THEN(0.46) WHY(0.46) NOT(0.45) KITCHEN(0.45) BOX(0.45) PUSH(0.44) FOOD(0.44) DO(0.44) INSIDE(0.43) HERE(0.43) NS_POSSUM(0.43) KNOW(0.43) SAY(0.43) LIKE(0.42) SOMETHING(0.42) LUNCH(0.41) PLAY(0.41) HOW(0.41) PT_POSS3(0.40) EAT(0.40) WAY(0.40) NS_SKIP(0.38) ALL(0.38) OR(0.38) MUCH(0.37) COLD(0.37) SURPRISE(0.37) THING(0.37) YET(0.36) BEFORE(0.36) HAPPEN(0.36) GET(0.36) GREAT(0.35) WILL(0.35),BE NS_SALLY PT_DEM3 SOFT WELL
video_4_100,PT_DEM3 YES WHAT PT_PRO2 NS_POSSUM RIGHT GREAT CAN HAVE DO GOOD PT_PRO1 MAKE LOOK PT_PRO1PL PT_PRO3 WANT NOT THINK KNOW NEED LOVELY BUT LIKE,PT_DEM3(0.64) YES(0.63) WHAT(0.63) PT_PRO2(0.63) NS_POSSUM(0.62) RIGHT(0.61) GREAT(0.57) CAN(0.54) HAVE(0.54) DO(0.47) GOOD(0.46) PT_PRO1(0.46) MAKE(0.44) LOOK(0.40) PT_PRO1PL(0.40) PT_PRO3(0.40) WANT(0.39) NOT(0.37) THINK(0.37) KNOW(0.36) NEED(0.36) LOVELY(0.36) BUT(0.35) LIKE(0.35),GREAT LOOK NS_POSSUM WELL
video_4_126,TIME SEE PT_PRO2 FINISH NEXT WELL PT_POSS1 NEXT-TIME NOW,TIME(1.00) SEE(1.00) PT_PRO2(0.96) FINISH(0.92) NEXT(0.92) WELL(0.78) PT_POSS1(0.76) NEXT-TIME(0.41) NOW(0.39),FINISH TIME
video_5_9,GREAT YES PT_DEM3 RIGHT NS_POSSUM GOOD WATCH WHAT NO THAT,GREAT(0.92) YES(0.76) PT_DEM3(0.64) RIGHT(0.63) NS_POSSUM(0.60) GOOD(0.58) WATCH(0.56) WHAT(0.53) NO(0.51) THAT(0.46),PT_PRO1 WANT-NOT WET
video_5_14,SEE NEED NOW PT_PRO2 PT_PRO1PL PT_POSS1 MAKE TIME HAVE PAPER PT_DEM3 WATER FINISH FUTURE PT_PRO1,SEE(0.74) NEED(0.71) NOW(0.67) PT_PRO2(0.58) PT_PRO1PL(0.57) PT_POSS1(0.49) MAKE(0.48) TIME(0.44) HAVE(0.42) PAPER(0.41) PT_DEM3(0.41) WATER(0.41) FINISH(0.38) FUTURE(0.37) PT_PRO1(0.37),GO HOW NS_POSSUM PT_PRO1 WONDER
video_5_42,GREAT YES RIGHT WHAT PT_DEM3 GOOD YEAH OKAY NS_SALLY OK LOOK WHERE,GREAT(0.89) YES(0.87) RIGHT(0.73) WHAT(0.72) PT_DEM3(0.66) GOOD(0.59) YEAH(0.53) OKAY(0.48) NS_SALLY(0.47) OK(0.44) LOOK(0.41) WHERE(0.39),WHAT
video_5_47,MAKE PT_PRO1 NS_SALLY PT_POSS1 NEED NOW BUT LOVE CAN PT_PRO2 VERY LIKE GO PT_PRO1PL WANT PT_POSS2 HAVE NOT PT_DEM3 WHAT NS_POSSUM THING PT_PRO3 WHY ALL FINISH GOOD USE PT_PRO3PL WRITE MANY MORE BOOK KNOW YES,MAKE(0.80) PT_PRO1(0.73) NS_SALLY(0.73) PT_POSS1(0.67) NEED(0.62) NOW(0.61) BUT(0.60) LOVE(0.57) CAN(0.56) PT_PRO2(0.55) VERY(0.55) LIKE(0.53) GO(0.51) PT_PRO1PL(0.51) WANT(0.51) PT_POSS2(0.51) HAVE(0.50) NOT(0.50) PT_DEM3(0.49) WHAT(0.48) NS_POSSUM(0.45) THING(0.45) PT_PRO3(0.45) WHY(0.44) ALL(0.43) FINISH(0.42) GOOD(0.41) USE(0.41) PT_PRO3PL(0.40) WRITE(0.39) MANY(0.39) MORE(0.37) BOOK(0.37) KNOW(0.36) YES(0.35),BETTER DRY NOW
video_5_56,PT_PRO2 PT_PRO1 NS_POSSUM YES CAN WHAT HAVE NS_SALLY PT_PRO3 HOW PT_DEM3 GO MAKE BUT SEE WATCH ENJOY RIGHT LIKE LOVE,PT_PRO2(0.63) PT_PRO1(0.61) NS_POSSUM(0.59) YES(0.58) CAN(0.55) WHAT(0.51) HAVE(0.47) NS_SALLY(0.45) PT_PRO3(0.44) HOW(0.43) PT_DEM3(0.43) GO(0.42) MAKE(0.41) BUT(0.40) SEE(0.40) WATCH(0.39) ENJOY(0.38) RIGHT(0.38) LIKE(0.36) LOVE(0.35),NS_POSSUM PT_PRO1 PT_PRO2 SHOW
video_5_61,YES PT_PRO2 NS_POSSUM RIGHT CAN WANT PT_PRO3 PT_DEM3 PT_PRO1 WHAT DO WILL PT_PRO1PL GREAT HAVE GOOD GO PLEASE WHY OK LOVELY LIKE MAKE NOW GET,YES(0.70) PT_PRO2(0.66) NS_POSSUM(0.62) RIGHT(0.60) CAN(0.57) WANT(0.55) PT_PRO3(0.53) PT_DEM3(0.52) PT_PRO1(0.50) WHAT(0.49) DO(0.47) WILL(0.47) PT_PRO1PL(0.46) GREAT(0.45) HAVE(0.45) GOOD(0.42) GO(0.41) PLEASE(0.40) WHY(0.40) OK(0.37) LOVELY(0.37) LIKE(0.37) MAKE(0.36) NOW(0.36) GET(0.35),PT_DEM3 PT_PRO2 TRY WANT-NOT
video_5_90,YES NS_POSSUM PT_PRO2 PT_PRO3 WILL GO WANT CAN LOVELY RIGHT PT_PRO1 PT_PRO1PL PT_DEM3 COME DO GREAT INSIDE GET LOOK WHAT HAVE KNOW THINK GOOD NOW TRY PLEASE VERY,YES(0.63) NS_POSSUM(0.62) PT_PRO2(0.61) PT_PRO3(0.60) WILL(0.57) GO(0.53) WANT(0.52) CAN(0.50) LOVELY(0.49) RIGHT(0.49) PT_PRO1(0.49) PT_PRO1PL(0.49) PT_DEM3(0.48) COME(0.47) DO(0.46) GREAT(0.45) INSIDE(0.45) GET(0.44) LOOK(0.43) WHAT(0.41) HAVE(0.41) KNOW(0.41) THINK(0.41) GOOD(0.39) NOW(0.38) TRY(0.38) PLEASE(0.38) VERY(0.37),CAN DO YES
video_5_102,NOW PUT PLEASE NEED PT_PRO1PL BOWL PT_DEM3 MAKE ONE CUT CAN PT_PRO2 TWO LOOK HAVE PT_PRO3 WHAT START THREE PT_LOC GET GREAT DO FINISH FOUR FIRST ADD FOLD,NOW(0.85) PUT(0.76) PLEASE(0.76) NEED(0.73) PT_PRO1PL(0.68) BOWL(0.66) PT_DEM3(0.65) MAKE(0.65) ONE(0.63) CUT(0.59) CAN(0.55) PT_PRO2(0.52) TWO(0.50) LOOK(0.47) HAVE(0.46) PT_PRO3(0.45) WHAT(0.45) START(0.44) THREE(0.44) PT_LOC(0.44) GET(0.42) GREAT(0.42) DO(0.42) FINISH(0.41) FOUR(0.40) FIRST(0.38) ADD(0.36) FOLD(0.35),CAN DO PLEASE PT_PRO2 THAT
video_5_130,YES GREAT RIGHT TRUE NS_POSSUM PT_DEM3 NO GOOD WHAT THAT PT_PRO2,YES(0.89) GREAT(0.86) RIGHT(0.83) TRUE(0.83) NS_POSSUM(0.71) PT_DEM3(0.65) NO(0.60) GOOD(0.59) WHAT(0.57) THAT(0.46) PT_PRO2(0.41),GREAT LOOK NOT
video_5_137,SEE TIME PT_POSS1 FINISH PT_PRO1PL PT_PRO2 NEED NOW WELL SMALL,SEE(0.90) TIME(0.83) PT_POSS1(0.75) FINISH(0.75) PT_PRO1PL(0.60) PT_PRO2(0.55) NEED(0.55) NOW(0.53) WELL(0.47) SMALL(0.41),FINISH TIME
video_6_37,HELLO BYE NS_POSSUM LOOK EVERYONE NS_SALLY NS_SKIP GOOD,HELLO(0.86) BYE(0.72) NS_POSSUM(0.70) LOOK(0.43) EVERYONE(0.43) NS_SALLY(0.40) NS_SKIP(0.39) GOOD(0.38),HELLO NS_AMANDA
video_6_90,NOW PT_PRO1PL PT_PRO1 PUT CAN NEED PT_PRO3 GO ALL WATER MAKE FINISH PT_PRO2 THEN NICE PT_POSS1 PT_DEM3 WILL HAVE SEE WANT BUT GET GROW PT_PRO3PL KNOW VERY FUTURE THINK GOOD LOOK PT_POSS2 NS_POSSUM PT_LOC,NOW(0.69) PT_PRO1PL(0.64) PT_PRO1(0.63) PUT(0.63) CAN(0.62) NEED(0.59) PT_PRO3(0.58) GO(0.56) ALL(0.55) WATER(0.54) MAKE(0.54) FINISH(0.54) PT_PRO2(0.54) THEN(0.54) NICE(0.53) PT_POSS1(0.52) PT_DEM3(0.49) WILL(0.49) HAVE(0.48) SEE(0.47) WANT(0.47) BUT(0.46) GET(0.45) GROW(0.44) PT_PRO3PL(0.40) KNOW(0.40) VERY(0.39) FUTURE(0.39) THINK(0.39) GOOD(0.39) LOOK(0.38) PT_POSS2(0.38) NS_POSSUM(0.36) PT_LOC(0.35),YES
video_6_92,YES GREAT NS_SALLY PT_DEM3 NS_POSSUM WHAT THANK-YOU LOOK COME GOOD PT_PRO1 HERE PT_PRO3 RIGHT PT_PRO2 PT_POSS1 GO PT_PRO1PL DO VERY,YES(0.66) GREAT(0.64) NS_SALLY(0.63) PT_DEM3(0.54) NS_POSSUM(0.53) WHAT(0.52) THANK-YOU(0.49) LOOK(0.48) COME(0.48) GOOD(0.48) PT_PRO1(0.44) HERE(0.44) PT_PRO3(0.43) RIGHT(0.42) PT_PRO2(0.41) PT_POSS1(0.39) GO(0.38) PT_PRO1PL(0.37) DO(0.35) VERY(0.35),HELP LOVE MAKE PT_PRO1 PT_PRO2 YES
video_7_6,HELLO EVERYONE BYE HI,HELLO(0.96) EVERYONE(0.95) BYE(0.73) HI(0.64),HELLO PEOPLE
video_7_11,FUN PT_PRO1 THINK KNOW YES IDEA HAVE NO BUT NS_POSSUM LOOK VERY PT_PRO3 PT_DEM3 FUNNY WHAT GOOD PT_PRO2 GREAT RIGHT NS_SALLY PT_POSS1 CAN SEE,FUN(0.73) PT_PRO1(0.69) THINK(0.68) KNOW(0.66) YES(0.66) IDEA(0.65) HAVE(0.64) NO(0.60) BUT(0.59) NS_POSSUM(0.59) LOOK(0.55) VERY(0.55) PT_PRO3(0.55) PT_DEM3(0.52) FUNNY(0.50) WHAT(0.47) GOOD(0.45) PT_PRO2(0.45) GREAT(0.43) RIGHT(0.41) NS_SALLY(0.40) PT_POSS1(0.39) CAN(0.37) SEE(0.35),ALWAYS GOOD NS_SALLY PT_PRO1
video_7_30,PT_POSS1 NS_SALLY PT_PRO1 LOVE MAKE NEED HAVE NOW PT_DEM3 PT_POSS2 NS_POSSUM BUT CAN TOOL PT_PRO1PL WHAT PT_PRO2 GO MANY THING VERY PLAY,PT_POSS1(0.85) NS_SALLY(0.83) PT_PRO1(0.69) LOVE(0.65) MAKE(0.64) NEED(0.58) HAVE(0.55) NOW(0.55) PT_DEM3(0.54) PT_POSS2(0.53) NS_POSSUM(0.51) BUT(0.46) CAN(0.45) TOOL(0.45) PT_PRO1PL(0.44) WHAT(0.44) PT_PRO2(0.44) GO(0.44) MANY(0.40) THING(0.39) VERY(0.37) PLAY(0.35),NS_POSSUM WHERE
video_7_84,SEE PT_PRO1 GO CAN HAVE PT_PRO3 PT_PRO2 PT_POSS1 LOOK BUT NS_SALLY KNOW PT_POSS2 THINK NS_POSSUM OUTSIDE NOT PT_DEM3 WATER NOW YES VERY WANT WHAT GET PT_PRO1PL MUST TREE FUN,SEE(0.71) PT_PRO1(0.69) GO(0.69) CAN(0.67) HAVE(0.65) PT_PRO3(0.65) PT_PRO2(0.65) PT_POSS1(0.64) LOOK(0.64) BUT(0.63) NS_SALLY(0.63) KNOW(0.62) PT_POSS2(0.61) THINK(0.61) NS_POSSUM(0.61) OUTSIDE(0.58) NOT(0.53) PT_DEM3(0.52) WATER(0.50) NOW(0.46) YES(0.45) VERY(0.41) WANT(0.41) WHAT(0.39) GET(0.39) PT_PRO1PL(0.38) MUST(0.37) TREE(0.37) FUN(0.36),KNOW PT_PRO1 PT_PRO2
