text	gloss
yes i would like to make one for myself .	YES PT_PRO1 WANT MAKE ONE PT_REFL1
thank you .	THANK-YOU
I have something for a sore throat .	PT_PRO1 HAVE SOMETHING THROAT SORE
just a little bit more .	LITTLE BIT MORE
shall we watch .	WATCH PT_PRO1PL
sort means that i would like all these pots put into groups that are the same .	SORT MEAN PT_PRO1 WANT ALL POT-PL GROUP SAME
now we need to put the edges on .	NOW EDGE PUT
you start .	PT_PRO2 START
i am possum .	PT_PRO1 NS_POSSUM
hello .	HELLO
there is two on this plate .	TWO PT_DEM3 PLATE
what do you mean possum what do you want to do with a ramp .	SKIP WHAT MEAN PT_PRO2 POSSUM WHAT WANT DO RAMP
a hoe a shovel i just do not know .	HOE SHOVEL PT_PRO1 NOT-KNOW
sally it is wrong .	SALLY WRONG
i have got the flour here .	PT_PRO1 HAVE FLOUR HERE
that is right it would make a whole pie .	CORRECT WHOLE PIE MAKE
well it looks beautiful .	BEAUTIFUL
i think today is the day i get to eat it .	TODAY DAY PT_PRO1 EAT FINISH
i am possum .	PT_PRO1 NAME NS_POSSUM
is that the shape you are talking about .	PT_DEM3 SHAPE PT_PRO2 TALK ABOUT
one two three four it goes in there .	ONE TWO THREE FOUR GO-IN PT_LOC
that way sally and i could live closer together .	PT_DEM3 WAY NS_SALLY PT_PRO1 LIVE CLOSE-TOGETHER
hello .	HELLO
i can not be scared of a possum .	SCARED POSSUM NOT
amanda have you brought the stuff to make the stilts .	NS_AMANDA PT_PRO2 BRING STUFF STILTS MAKE
sally i like playing police officer possum .	NS_SALLY PT_PRO1 LIKE PLAY POLICE OFFICER POSSUM
pauline is coming .	NS_PAULINE COME
now can you look at all the letters and see if you can find out what english word can be made with them .	NOW PT_PRO2 LOOK ALL LETTER SEE PT_PRO2 FIND ENGLISH WORD MAKE
no the coffee is an important part .	NO COFFEE IMPORTANT PART
he is agreed to allow us to come and visit .	PT_PRO3 AGREE ALLOW PT_PRO1PL VISIT
bye .	GOODBYE
right at the very top is my crows nest .	VERY-TOP PT_LOC CROW-NEST PT_POSS1
where do they come from .	EGG WHERE FROM
i can see possum rushing up and down that tree of his .	PT_PRO1 SEE POSSUM RUSH UP-DOWN TREE PT_POSS3
hello everyone .	HELLO EVERYONE
i need to get a few potatoes .	POTATO NEED GET
look look at all this stuff .	LOOK LOOK STUFF MANY
great let us go come on .	GREAT PT_PRO1PL GO COME-ON
you really have a wonderful knack of getting down that tree quickly .	PT_PRO2 REAL HAVE WONDERFUL SKILL GET-DOWN TREE QUICK
sally do we need a lemon .	NS_SALLY PT_PRO1+2 LEMON NEED
you did a great job using the screwdriver .	PT_PRO2 DO GOOD SCREWDRIVER USE
yes i got a bit of a fright seeing it fall down .	YES PT_PRO1 GET FRIGHT SEE APPLE FALL DOWN
that is true .	PT_DEM3 TRUE
sally what if i take my picture outside .	NS_SALLY WHAT-IF PT_PRO1 TAKE PT_POSS1 PICTURE OUTSIDE
why do not we make some weavings .	WHY DO-NOT PT_PRO1PL MAKE WEAVING
there .	PT_LOC
your bag it goes on there .	PT_POSS2 BAG PT_LOC THERE
i have got it .	PT_PRO1 HAVE GET
well sally i have an idea .	WELL NS_SALLY PT_PRO1 HAVE IDEA
look .	LOOK
you really are very good at it .	PT_PRO2 REAL GOOD DO-IT
it is a banana and an apple .	BANANA APPLE
i think i could do a pattern of three .	PT_PRO1 THINK PT_PRO1 COULD DO PATTERN THREE
bye .	BYE
i have still got more to do .	PT_PRO1 DO MORE
your castle is a great place and i would be glad to come and tell you more stories .	PT_POSS2 CASTLE PLACE GREAT GLAD PT_PRO1 COME TELL PT_PRO2 STORY MORE
bye bye .	BYE BYE
sally what is he doing now .	NS_SALLY WHAT PT_PRO3 DO NOW
i will pour the drinks .	POUR DRINK
i like letters .	PT_PRO1 LIKE LETTER
you are always careful sally .	PT_PRO2 CAREFUL ALWAYS
but we need to put some leaves on it .	BUT NEED PUT LEAF MANY
great .	GREAT
well that is great .	GOOD GREAT
that one ready .	PT_DEM3 READY
there is a few things i need to buy and then we will come back .	THING SOME PT_PRO1 NEED BUY FINISH COME-BACK
that one is flat and this one is curved .	PT_DEM3 FLAT PT_DEM3 CURVE
now if it is a bit blurry for you sally just twist the knob .	NOW BLURRY PT_PRO2 NS_SALLY TWIST KNOB
yes it was .	YES
but when i woke up this morning there were no puddles .	WAKE-UP MORNING NOW NOT PUDDLE
that is not the treasure .	TREASURE THAT-NOT
ok .	OK
you can tighten and loosen nuts .	PT_PRO2 TIGHTEN LOOSEN NUT
the person who works at the flower shop sells all sorts of different flowers .	FLOWER-SHOP WORK PT_PRO3 SELL FLOWER DIFFERENT MANY
ok .	OK
right .	RIGHT
now we are going to need some chia seeds .	NOW PT_PRO1PL NEED CHIA SEED
yes we can .	CAN
the right tool would be a rake .	RAKE TOOL RIGHT
i wonder if he has wet or dry .	PT_PRO1 WONDER POSSUM HAVE WET OR DRY
sally mirrors are so much fun .	NS_SALLY MIRROR FUN MUCH
hello .	HELLO
now first we will start with the head and the ears .	NOW FIRST PT_PRO1PL START HEAD EARS
sally i have a special surprise for you .	NS_SALLY PT_PRO1 HAVE SURPRISE SPECIAL PT_PRO2
that is great .	GREAT
why thank you .	THANK-YOU
okay what is next .	OKAY WHAT NEXT
sometimes police officers go to schools and explain to children what they do .	SOMETIMES POLICE OFFICER GO SCHOOL EXPLAIN CHILDREN WHAT PT_PRO3PL DO
do you remember when i was swinging on the door .	REMEMBER PT_PRO2 PT_PRO1 SWING DOOR
sally the tomatoes and the lettuce .	NS_SALLY TOMATO LETTUCE
there is a bowerbird nest that i want to keep an eye on .	BOWERBIRD NEST PT_PRO1 WANT KEEP EYE PT_LOC
looks delicious .	LOOK DELICIOUS
hello .	HELLO
i know roll .	KNOW ROLL
yes possum we are going to make our ice cream from frozen bananas .	YES POSSUM PT_PRO1PL WILL-MAKE PT_POSS1PL ICE-CREAM FROM FROZEN BANANA
i am sally .	PT_PRO1 NS_SALLY
there .	PT_LOC
i was worried that the soccer ball might land on our plaster and splash it everywhere .	PT_PRO1 WORRY SOCCER BALL MIGHT LAND PT_POSS1 PLASTER SPLASH EVERYWHERE
they are on the table possum .	PT_PRO3PL TABLE POSSUM
that is great we have had so much fun today have not we .	PT_DEM3 GREAT PT_PRO1PL HAVE FUN TODAY RIGHT
hello everyone .	HELLO EVERYONE
no possum i was more worried about the fact that when i got back the wood from my ute was gone .	NO POSSUM PT_PRO1 WORRY-NOT WORRY FACT WHEN PT_PRO1 COME-BACK WOOD PT_POSS1 UTE GONE
hello .	HELLO
now can you see the shadow .	NOW PT_PRO2 CAN SEE SHADOW
yes wheels .	WHEEL
she seems to be thinking about something .	PT_PRO3 THINK ABOUT SOMETHING
well done possum .	WELL-DONE NS_POSSUM
that looks great possum .	PT_DEM3 LOOK GREAT POSSUM
then they fly away .	FLY AWAY
that is great .	GREAT
smooth .	SMOOTH
sally when people go camping what do they do .	NS_SALLY WHEN PEOPLE GO CAMP WHAT DO
it is lucky because these paints are quite easy to wash off .	LUCKY BECAUSE PAINT EASY WASH-OFF
yes .	YES
we have finished making our plane .	FINISH PT_PRO1PL PLANE MAKE
you put your foot on that .	PT_PRO2 PUT PT_POSS2 FOOT PT_DEM3
i think you need to practise a bit more .	PT_PRO1 THINK PT_PRO2 NEED PRACTISE MORE
maybe i should paint all the grass green .	MAYBE PT_PRO1 PAINT ALL GRASS GREEN
sally that looked great .	NS_SALLY LOOK GREAT
i have made a train .	PT_PRO1 MAKE TRAIN
great idea .	GREAT IDEA
where is she .	PT_PRO3 WHERE
i am so excited see you .	PT_PRO1 EXCITED VERY SEE PT_PRO2
sally this was so much fun i really enjoyed it .	NS_SALLY PT_DEM3 VERY FUN PT_PRO1 REALLY ENJOY
well it is sallys turn now .	NOW NS_SALLY TURN
this could be my tree .	COULD PT_POSS1 TREE
that is not a bill possum .	PT_DEM3 NOT BILL POSSUM
it is finished it looks lovely .	FINISH LOOK LOVELY
well like i said i just visited the neighbour he used to work as a sailor .	VISIT NEIGHBOUR WORK SAILOR BEFORE
what shape is the food .	WHAT SHAPE FOOD
it is stuck to the ceiling possum .	PT_DEM3 STUCK CEILING POSSUM
what else should we compare .	WHAT-ELSE COMPARE
what else did you draw possum .	WHAT-ELSE PT_PRO2 DRAW POSSUM
you are right possum .	PT_PRO2 RIGHT POSSUM
neville this is possum .	NS_NEVILLE PT_DEM3 POSSUM
look how much you have grown .	LOOK GROW MUCH PT_PRO2
sally i really am sorry i broke that plate .	NS_SALLY I REALLY SORRY I BREAK PLATE PT_DEM3
so we need two pieces that lock together .	PT_PRO1PL NEED TWO PIECE LOCK TOGETHER
my chisels .	PT_POSS1 CHISEL
while you are over there why do not you give the hummus to skip .	PT_PRO2 THERE GIVE HUMMUS NS_SKIP
you have managed to arrange the letters into an english word .	PT_PRO2 MANAGE ARRANGE LETTER INTO ENGLISH WORD
not me i know what i am doing .	NOT PT_PRO1 PT_PRO1 KNOW DO
it is good to look at something and then to draw it .	GOOD LOOK SOMETHING THEN DRAW SAME
well that is easy possum .	WELL EASY POSSUM PT_DEM3
i must say possum your castle is brilliant .	PT_PRO1 MUST SAY POSSUM PT_POSS2 CASTLE BRILLIANT
let us go .	GO
that looks heavy .	HEAVY
sally is still away .	NS_SALLY AWAY STILL
great the map can go in the tree .	GOOD MAP GO TREE
yes but hang on .	YES BUT WAIT
i want to make both .	PT_PRO1 WANT MAKE BOTH
i have to follow the arrow that way .	PT_PRO1 ARROW FOLLOW THAT-WAY
amanda do you have that square .	NS_AMANDA PT_PRO2 HAVE SQUARE PT_DEM3
i wonder what it is .	WONDER WHAT PT_DEM3
then i climbed my tree again .	THEN PT_PRO1 CLIMB PT_POSS1 TREE AGAIN
yes it is the reflection .	YES REFLECTION
can you pass me those bits of paper .	PT_PRO2 GIVE-ME PAPER BITS QUERY
or they might use a paintbrush to move the paint around to make patterns as well or a stick .	OR PAINTBRUSH USE PAINT MOVE PATTERN MAKE OR STICK USE
we can give it to them and if she does not want it then we can get it back and eat it all .	PT_PRO1PL GIVE PT_PRO3 IF PT_PRO3 WANT-NOT THEN PT_PRO1PL GET-BACK EAT ALL
they are so tiny you might not be able to see them .	PT_PRO3 SO TINY PT_PRO2 MIGHT-NOT ABLE SEE PT_PRO3
hi everyone .	HI EVERYONE
i will see you in a few days .	PT_PRO1 WILL SEE PT_PRO2 DAY FEW
preparing for possum school .	PREPARE POSSUM SCHOOL
great now there is one more .	GREAT NOW PT_LOC ONE MORE
what are you thinking about for this .	PT_PRO2 THINK WHAT FOR PT_DEM3
well never mind .	WELL NEVER-MIND
no i have changed my mind what was your favourite costume .	NO PT_PRO1 CHANGE MIND PT_POSS2 FAVOURITE COSTUME WHAT
that is great .	PT_DEM3 GREAT
sally why do not you and i stay here and watch the paint dry .	NS_SALLY WHY PT_PRO2 PT_PRO1 STAY HERE WATCH PAINT DRY
i know .	KNOW
something that is precious .	SOMETHING PRECIOUS
do you want to come and eat some .	WANT COME EAT
it is growing too close to the fence so i need to move it away so the tree can grow better .	GROW FENCE CLOSE TOO MOVE AWAY TREE GROW GOOD
no we will not be able to do that possum .	NO PT_PRO1PL WILL-NOT CAN DO PT_DEM3 NS_POSSUM
they had a bike wheel down one end and with the rope they would be able to hoist my lunch all the way up so that i would be able to eat my lunch in the crows nest .	BIKE WHEEL DOWN ONE-END ROPE, ABLE HOIST LUNCH ALL-WAY-UP PT_PRO1 EAT LUNCH CROW-NEST
great three .	GREAT THREE
water yes i do .	WATER YES PT_PRO1 DO
hello .	HELLO
that is lovely .	LOVELY
yes sally .	YES NS_SALLY
hello everybody .	HELLO PEOPLE
yes you have finished your rubbings .	YES PT_PRO2 FINISH PT_POSS2 RUB
i can drag it across using that .	PT_PRO1 CAN DRAG PT_DEM3 ACROSS THAT
i am feeling very hot .	PT_PRO1 FEEL HOT VERY
then i hit the ball over the fence .	THEN PT_PRO1 HIT BALL OVER FENCE
can you do that .	CAN PT_PRO2 DO
i am sally .	PT_PRO1 NS_SALLY
it is over there .	PT_DEM3 OVER-THERE
what .	WHAT
you are funny .	PT_PRO2 FUNNY
i have brought a big surprise .	PT_PRO1 BRING SURPRISE BIG
well milk is amazing .	WELL MILK AMAZING
perfect .	PERFECT
no they do not but they have jet engines and that is what makes them stay in the sky .	NO FLAP-NOT ENGINE JET STAY SKY
right sally we have our methods to solve the case .	RIGHT NS_SALLY PT_PRO1PL HAVE METHOD SOLVE CASE
this is what we have set up outside .	PT_DEM3 OUTSIDE SETUP
if we have a whole pie we can show that number as one .	WHOLE PIE PT_PRO1PL HAVE SHOW NUMBER ONE
half an hour no we have only been chatting for half a minute .	HOUR-HALF NO PT_PRO1PL CHAT MINUTE-HALF ONLY
it has not separated yet .	SEPARATE-NOT YET
hello .	HELLO
i do not think i understand .	PT_PRO1 NOT UNDERSTAND
thank you .	THANK-YOU
did you have fun playing outside .	PT_PRO2 OUTSIDE PLAY FUN HAVE
there is a lot of fruit on that one .	PT_DEM3 FRUIT MANY PT_LOC
good work possum .	GOOD WORK POSSUM
thanks for watching .	THANK WATCH
that is fantastic .	FANTASTIC
good work possum that is what the instructions are for to help put up the tent .	GOOD WORK POSSUM PT_DEM3 INSTRUCTION PURPOSE HELP PUT-UP TENT
what do you want it for .	WHAT PT_PRO2 WANT PT_DEM3 FOR
i can not climb trees as high as you .	PT_PRO1 CLIMB TREE HIGH-NOT PT_PRO2 SAME
sunday all day both days .	SUNDAY ALL-DAY DAY#2
yeah okay .	YES OKAY
we are going to go around my tree .	PT_PRO1PL GO AROUND PT_POSS1 TREE
no they are from australia .	NO AUSTRALIA FROM PT_PRO3PL
could you show us .	SHOW-US PT_PRO2
we want them a bit longer than the other ones .	PT_PRO1PL WANT PT_PRO3PL LONG COMPARE DIFFERENT
when i have a job to do then i can pick the right tool .	JOB PT_PRO1 HAVE DO-WHEN TOOL RIGHT PICK CAN
bye .	BYE
no possum i got this ice from the freezer .	NO NS_POSSUM PT_PRO1 FREEZER FROM ICE GET
two of my favourite words .	TWO WORD FAVOURITE PT_PRO1
two .	TWO
we are going to have some delicious food soon .	PT_PRO1PL GO HAVE FOOD DELICIOUS SOON
that is exactly right .	THAT EXACTLY RIGHT
the more cracked it gets the more it will leak .	MORE CRACK MORE LEAK
me .	PT_PRO1
i was asking about butter .	PT_PRO1 BUTTER ABOUT ASK
great great .	GREAT GREAT
i want to be just like you .	PT_PRO1 WANT SAME-AS PT_PRO2
it is bright over this side .	BRIGHT PT_LOC THIS-SIDE
nowhere else .	NOWHERE-ELSE
i wonder what would happen if we left it there all day .	PT_PRO1 WONDER LEAVE-IT DS(FLAT) THERE ALL-DAY WHAT HAPPEN
i am thinking we can add some flavors .	PT_PRO1 THINK PT_PRO1PL ADD FLAVOR SOME
that is right you need something to make it move .	RIGHT PT_PRO2 NEED SOMETHING MOVE
police officers .	POLICE-OFFICER
that is why they sent me for the xray .	REASON PT_PRO3PL SEND PT_PRO1 X-RAY
look .	LOOK
while i do that i can make you a cup of tea .	WHILE PT_PRO1 DO THAT PT_PRO1 ABLE MAKE PT_PRO2 CUP TEA
what a great drawing .	WHAT GREAT DRAW
look at all the different shapes .	LOOK SHAPE DIFFERENT MANY
once we have tidied up we can go and have our picnic .	FINISH TIDY-UP PT_PRO1PL CAN GO PICNIC HAVE
right this one we use our hands .	RIGHT PT_DEM3 PT_PRO1PL USE HAND
look .	LOOK
the colors look lovely .	COLOUR LOVELY
there it is .	PT_LOC
they had really big feet .	PT_PRO3PL HAVE BIG FOOT-PLURAL
you were being bendy .	PT_PRO2 BENDY
well our time is up .	WELL PT_POSS1 TIME FINISH
i need to play soccer too .	PT_PRO1 PLAY SOCCER
that is great can you scoop out the butter .	PT_DEM3 GREAT SCOOP-OUT BUTTER
i do not think any other possum could do that .	PT_PRO1 NOT-THINK OTHER POSSUM CAN DO PT_DEM3
it is such a beautiful day .	DAY BEAUTIFUL
hold it up .	HOLD UP PT_DEM3
now we are going to heat it and melt the chocolate .	NOW HEAT MELT CHOCOLATE
no i do not have time for that .	NO PT_PRO1 TIME HAVE-NOT
i know what it is it is pizza .	PT_PRO1 KNOW PT_DEM3 PIZZA
see that is one cog .	SEE PT_DEM3 ONE COG
sally what is a kilogram .	NS_SALLY WHAT KILOGRAM
hello everyone .	HELLO EVERYONE
if you do not know how to cross the road safely it can be quite dangerous .	IF PT_PRO2 NOT-KNOW HOW CROSS ROAD SAFE CAN DANGEROUS
this .	PT_DEM3
i can eat as much as i want until i am full and then whatever has left over you guys can share it around .	PT_PRO1 EAT MUCH WANT UNTIL PT_PRO1 FULL THEN LEFT-OVER PT_PRO2PL SHARE
no that is a very good question though .	NO THAT GOOD QUESTION
do you know there is a surprise coming soon .	PT_PRO2 KNOW SURPRISE COME SOON
sally this is awesome if you have a wheelbarrow .	NS_SALLY PT_DEM3 AWESOME WHEELBARROW HAVE IF
