text	gloss
so i dip the paper in the glue and used that to make the ball .	PAPER GLUE DIP USE BALL MAKE
i will help yeah .	PT_PRO1 HELP YEAH
well come on then .	WELL COME ON
possum .	NS_POSSUM
what is it .	WHAT
i have an idea .	PT_PRO1 HAVE IDEA
why do not we pretend that our feet are really sticky and that the grass is all sticky all the way back to the kitchen .	WHY PT_PRO1PL PRETEND FOOT STICKY GRASS STICKY KITCHEN
yeah come on copy us kids .	YEAH COME COPY KID PT_PRO1PL
well sally i am ready to make the glue how do we make it .	NS_SALLY PT_PRO1 READY MAKE GLUE HOW MAKE
well to make our sticky sticky glue we need four things .	MAKE STICKY GLUE NEED FOUR THING
we need four things .	NEED FOUR THING
we need flour .	NEED FLOUR
yep .	YES
we need water .	NEED WATER
there it is .	PT_DEM3 THERE
we need a bowl .	NEED BOWL
we need a spoon .	NEED SPOON
no that is too small .	NO PT_DEM3 SMALL TOO
we need a bigger spoon .	NEED SPOON BIG
yes that is right .	YES PT_DEM3 RIGHT
we have our four things that means we can start making our glue .	HAVE FOUR THING PT_PRO1PL CAN START MAKE GLUE
we need one cup of flour in the bowl .	NEED ONE CUP FLOUR BOWL
now we need a cup of water .	NOW NEED CUP WATER
look possum you can see there the flour is sitting on the bottom and the water is on the top .	LOOK POSSUM FLOUR BOTTOM WATER TOP
we need to use our spoon to mix it all together and make it nice and sticky .	NEED SPOON MIX TOGETHER STICKY NICE
can you do that please while you are doing that i am going to tear up some strips of paper .	CAN PT_PRO2 DO PT_DEM3 PLEASE WHILE PT_PRO2 DO PT_DEM3 PT_PRO1 WILL TEAR-UP PAPER STRIP MANY
possum are you stuck .	NS_POSSUM PT_PRO2 STUCK
you are playing tricks on me .	PT_PRO2 PLAY TRICK PT_PRO1
that glue looks ready possum .	PT_DEM3 GLUE LOOK READY NS_POSSUM
now we need to blow up a balloon .	NOW NEED BLOW-UP BALLOON
ok that is enough .	OK FINISH ENOUGH
now place it in the bowl .	NOW PUT PT_LOC BOWL
what we do is we get our paper .	WHAT PT_PRO1-PL DO COP PAPER GET PT_PRO1-PL
we dip it in the glue and then we stick it on the balloon .	DIP GLUE THEN STICK BALLOON
that is looking good .	PT_DEM3 LOOK GOOD
why do not we watch some children making papiermâché balloons .	WHY NOT WATCH CHILD MAKE PAPIER-MACHE BALLOON WHAT
yeah let us watch .	YEAH WATCH
those children make great papiermâché balloons .	CHILD THAT MAKE PAPIER-MACHE BALLOON GREAT
yes they were beautiful were not they possum .	YES PT_PRO3PL BEAUTIFUL NOT-SO PT_PRO3 NS_POSSUM
yours is beautiful too though .	PT_POSS2 BEAUTIFUL ALSO
we should paint ours as well but it is still wet .	SHOULD PAINT PT_POSS1-PL ALSO BUT STILL WET
but it is still wet .	BUT STILL WET
why do not we go outside and hang it up so it can dry .	WHY NOT GO OUTSIDE HANG-UP DRY WHAT
yeah good idea come on let us go .	YEAH GOOD IDEA COME GO
hello .	HELLO
possum your ball looks great .	NS_POSSUM PT_POSS2 BALL LOOK GREAT
it is not sticky anymore it is nice and dry and when it is painted it will look beautiful .	STICKY-NOT FINISH PT_DEM3 NICE DRY PAINT LOOK BEAUTIFUL
hey sally have a look at my door .	NS_SALLY LOOK PT_POSS1 DOOR
it is not sticky anymore i have cleaned it .	STICKY-NOT FINISH PT_PRO1 CLEAN FINISH
yes i saw you mopping and now all the honey is gone .	PT_PRO1 SEE PT_PRO2 MOP HONEY GONE FINISH
sally i do love eating honey and playing with sticky sticky things .	NS_SALLY PT_PRO1 LOVE EAT HONEY PLAY STICKY STICKY
yes i know you do possum and i have something else that is sticky for you just wait .	NS_SALLY PT_PRO1 KNOW PT_POSS2 DO PT_PRO1 HAVE SOMETHING ELSE STICKY PT_PRO2 WAIT
sally what does it say .	NS_SALLY WHAT SAY
it says do not get honey on the door .	SAY DO-NOT GET HONEY DOOR
sally you are funny .	NS_SALLY PT_PRO2 FUNNY
well our time is up .	TIME FINISH
thanks for watching .	THANK WATCH
see you next time .	SEE PT_PRO2 NEXT-TIME
bye bye .	BYE BYE
hello .	HELLO
look .	LOOK
look .	LOOK
i am sally .	PT_PRO1 NS_SALLY
i am possum .	PT_PRO1 NS_POSSUM
hello .	HELLO
hello everyone .	HELLO EVERYONE
it is such a hot day today .	TODAY HOT DAY VERY
i am feeling very hot .	PT_PRO1 FEEL HOT VERY
the sun it is shining down on me .	SUN SHINE-DOWN PT_LOC PT_PRO1
it is making me sweat .	PT_PRO1 SWEAT
you can see i have got my summer clothes on .	PT_PRO1 WEAR CLOTHES SUMMER
they are helping me feel light and cool .	PT_PRO3PL HELP PT_PRO1 FEEL LIGHT COOL
i have got my wide brimmed hat to keep the sun off my face .	PT_PRO1 HAVE HAT BRIM-WIDE PROTECT SUN PT_BODY(FACE)
it is such a lovely day .	TODAY LOVELY DAY VERY
there are so many things we can go and do .	MANY THINGS PT_PRO1PL CAN DO
i am going to go and wake up possum so he can come and do fun things with me .	PT_PRO1 GO WAKE POSSUM COME DO FUN-THINGS TOGETHER
even his tree house is hot but where is possum .	POSSUM TREE-HOUSE HOT BUT POSSUM WHERE
possum what are you doing there .	POSSUM WHAT DO PT_LOC
hello sally i have got my shade .	HELLO NS_SALLY PT_PRO1 HAVE SHADE
my nice icecold water and my fan .	PT_POSS1 WATER COLD ICE PT_POSS1 FAN
i am going to stay here all day .	PT_PRO1 STAY HERE ALL-DAY
you are going to stay there all day possum .	PT_PRO2 STAY PT_LOC ALL-DAY POSSUM
no you can not do that .	NO PT_PRO2 CAN-NOT DO PT_DEM3
there is so many things to do .	MANY THINGS DO
can i sleep all day sally .	PT_PRO1 CAN SLEEP ALL-DAY NS_SALLY
i know you love to sleep possum .	PT_PRO1 KNOW PT_PRO2 LOVE SLEEP POSSUM
but you can not do that today .	BUT PT_PRO2 CAN-NOT DO TODAY
we are going to go do plenty of fun things today .	PT_PRO1PL GO DO MANY FUN THING TODAY
like what .	LIKE WHAT
well why do not we watch some children and see what they do to keep cool on a hot day .	WHY NOT PT_PRO1PL WATCH CHILD SEE DO KEEP COOL HOT DAY
yeah let us watch .	YEAH LET PT_PRO1PL WATCH
i love swimming when it is hot and going on the water slide .	PT_PRO1 LOVE SWIM HOT WATER-SLIDE
i love swimming underwater .	PT_PRO1 LOVE SWIM UNDERWATER
i love swimming it is great .	PT_PRO1 LOVE SWIM GREAT
does not the beach look amazing .	BEACH LOOK AMAZING
we must go .	PT_PRO1PL MUST GO
sally what is the beach .	NS_SALLY BEACH WHAT
the beach is where the sea meets the land and the waves crash upon the shore .	BEACH WHERE SEA MEET LAND WAVE CRASH SHORE
there is plenty of sand and a lovely breeze .	PLENTY SAND LOVELY BREEZE
people enjoy going to the beach .	PEOPLE ENJOY GO BEACH
people even fish at the beach and they like to eat what they catch .	PEOPLE FISH BEACH LIKE EAT CATCH
possums do not eat fish .	POSSUM EAT-NOT FISH
well that is okay possum .	OKAY POSSUM
we can still go to the beach and just enjoy looking around .	PT_PRO1PL CAN GO BEACH ENJOY LOOK-AROUND
we do not need to eat any fish .	PT_PRO1PL NEED-NOT EAT FISH
great well what do i need to bring .	GOOD WELL WHAT PT_PRO1 NEED BRING
i have a list of what we need to take .	PT_PRO1 HAVE LIST WHAT PT_PRO1PL NEED TAKE
well what does it say .	WELL WHAT SAY
well first of all we need a bucket and a spade .	WELL FIRST ALL PT_PRO1PL NEED BUCKET AND SPADE
wait wait hang on .	WAIT WAIT HOLD-ON
good good .	GOOD GOOD
right now we need a towel .	NOW PT_PRO1PL NEED TOWEL
wait wait i am not finished .	WAIT WAIT PT_PRO1 FINISH-NOT
all right we need a beach ball .	GOOD PT_PRO1PL NEED BEACH-BALL
possum hold on we need an umbrella too .	POSSUM HOLD-ON PT_PRO1PL NEED UMBRELLA ALSO
all right possum we need our beach umbrella .	GOOD POSSUM PT_PRO1PL NEED PT_POSS1PL BEACH-UMBRELLA
possum you have got a lot of things there .	POSSUM PT_PRO2 HAVE MANY THING
there is one more thing we need though .	ONE MORE THING PT_PRO1PL NEED
we need some swimming togs .	PT_PRO1PL NEED SWIMMING-TOGS
possum what is the matter .	POSSUM WHAT MATTER
well sally possums do not like swimming at the beach .	WELL NS_SALLY POSSUM LIKE-NOT SWIM BEACH
what are we going to do .	WHAT PT_PRO1PL DO
what do possums like to do .	WHAT POSSUM LIKE DO
we like to sleep .	PT_PRO1PL LIKE SLEEP
we like to clean ourselves .	PT_PRO1PL LIKE CLEAN PT_REFL1PL
we love to eat .	PT_PRO1PL LOVE EAT
possum i have an idea .	POSSUM PT_PRO1 HAVE IDEA
it is a very hot day i know something special we can make to eat that will make you feel cool inside .	VERY HOT DAY PT_PRO1 KNOW SOMETHING SPECIAL PT_PRO1PL CAN MAKE EAT MAKE PT_PRO2 FEEL COOL INSIDE
would you like to do that .	PT_PRO2 WANT DO PT_DEM3
yes but what is it .	YES BUT WHAT
what do you think it could be .	WHAT PT_PRO2 THINK PT_DEM3 CAN-BE
something to eat to make you feel cool inside .	SOMETHING EAT MAKE PT_PRO2 FEEL COOL INSIDE
what is it .	WHAT
we are now ready to make some ice cream .	NOW READY MAKE SOME ICE-CREAM
sally what is ice cream .	NS_SALLY WHAT ICE-CREAM
ice cream is something that is very cold and sweet and delicious .	ICE-CREAM SOMETHING VERY COLD SWEET DELICIOUS
it will make you feel cool inside on a very hot day .	MAKE PT_PRO2 FEEL COOL INSIDE VERY HOT DAY
sally i am so excited i can not wait can we make it now .	NS_SALLY PT_PRO1 EXCITED PT_PRO1 CANNOT WAIT CAN MAKE NOW
yes possum we are going to make our ice cream from frozen bananas .	YES POSSUM PT_PRO1PL WILL-MAKE PT_POSS1PL ICE-CREAM FROM FROZEN BANANA
i have already chopped up a bunch of bananas and put them in the freezer .	PT_PRO1 ALREADY CHOP BUNCH BANANA PUT FREEZER
can you get them for me please .	CAN PT_PRO2 GET PT_POSS3 PT_PRO1 PLEASE
me yes okay .	PT_PRO1 YES OKAY
can you put those in the bowl please .	CAN PT_PRO2 PUT PT_DEM3 BOWL PLEASE
you see these are frozen bananas and i chopped them up while they were soft and put them in the freezer to become hard .	PT_PRO2 SEE PT_DEM3 FROZEN BANANA PT_PRO1 CHOP SOFT PUT FREEZER BECOME HARD
now can you put them in the blender .	NOW CAN PT_PRO2 PUT PT_DEM3 BLENDER
we have put them in the blender to blend it all together and chop it up and make it smooth .	PT_PRO1PL BLENDER PUT-IN PT_PRO3PL BLEND TOGETHER CHOP-UP SMOOTH FINISH
i am thinking we can add some flavors .	PT_PRO1 THINK PT_PRO1PL ADD FLAVOR SOME
let us have a look what is in the kitchen .	KITCHEN LOOK PT_DET INSIDE WHAT
yep let us look .	LOOK YES
i found some dried apricots .	APRICOT DRY FIND PT_PRO1
i found sultanas .	SULTANA FIND PT_PRO1
that will taste great together let us put some in .	TASTE GREAT TOGETHER PUT-IN SOME
can you put some sultanas in please possum .	SULTANA SOME PUT-IN PT_PRO2 PLEASE
great now i think we are ready put the lid on .	READY PT_PRO1PL THINK NOW LID PUT-ON
be careful now let us watch it get all mixed up .	CAREFUL NOW WATCH MIX-UP
it is all right possum .	ALRIGHT
our ice cream is ready now .	PT_PRO1PL ICE-CREAM READY NOW
it is ready .	READY
yes i have got some ice cream cones .	YES ICE-CREAM CONE HAVE PT_PRO1
can you get two out for me please .	TWO GET-OUT PT_PRO1 FOR PT_PRO2 PLEASE
do not they look delicious .	DELICIOUS LOOK-NOT DO
does it taste good .	TASTE GOOD
it is delicious i feel nice and cool now .	DELICIOUS FEEL-NICE COOL NOW
hey let us go outside .	OUTSIDE GO
much better now .	BETTER NOW
it is not as hot anymore .	HOT REDUCE-NOT NOW
yes that is right .	YES PT_DEM3 RIGHT
it is a lot cooler now .	COOL MANY NOW
because the sun is setting .	SUN SET
when the sun is high up in the sky that is the hottest part of the day .	SUN HIGH SKY HOTTEST PART DAY
sally do you remember what we did today .	NS_SALLY PT_PRO2 REMEMBER TODAY DO WHAT
we watched people to see what they do to keep cool on a hot day .	PEOPLE WATCH DO WHAT COOL HOT DAY
then we made plans to go to the beach .	BEACH GO PLAN MAKE
sally do you remember we made delicious banana ice cream .	NS_SALLY REMEMBER BANANA ICE-CREAM DELICIOUS MAKE
yes .	YES
it was so yummy .	YUMMY VERY
yes you do love your banana ice cream do not you possum .	YES PT_PRO2 BANANA ICE-CREAM LOVE-NOT
possum what are they for .	NS_POSSUM PT_DEM3 WHAT FOR
that is a lot of bananas .	BANANA MANY VERY
these are just in case tomorrow is a hot day too .	TOMORROW HOT MAYBE SO BANANA SAVE
so we can make some more delicious banana ice cream .	BANANA ICE-CREAM DELICIOUS MAKE AGAIN CAN
well i hope tomorrow will be another hot day then possum .	TOMORROW HOT DAY HOPE PT_PRO1 NS_POSSUM
yeah me too .	YES PT_PRO1 ALSO
well our time is up .	FINISH TIME
thanks for watching .	WATCH THANK
see you next time .	SEE PT_PRO2 NEXT TIME
bye bye .	BYE BYE
hello .	HELLO
look .	LOOK
look .	LOOK
i am sally .	PT_PRO1 NS_SALLY
i am possum .	PT_PRO1 POSSUM
hello .	HELLO
hello everyone .	HELLO EVERYONE
look possum is painting .	LOOK POSSUM PAINT
look at all the bright colors .	LOOK ALL COLOUR BRIGHT
i wonder what that is .	PT_PRO1 WONDER WHAT
there is another one .	ANOTHER ONE THERE
what is going on .	WHAT HAPPEN
stop why are you touching it .	STOP WHY PT_PRO2 TOUCH
it looks nice and shiny and i just wanted to touch it .	LOOK NICE SHINY PT_PRO1 WANT TOUCH
but that is the problem you are smudging it .	BUT PROBLEM PT_PRO2 SMUDGE
the paint is not dry yet .	PAINT DRY-NOT YET
it is still wet .	WET STILL
i get it it is still wet .	PT_PRO1 UNDERSTAND WET STILL
yes you have to wait for the paint to dry .	YES PT_PRO2 MUST WAIT PAINT DRY FINISH
you can not be in such a hurry you must be patient .	PT_PRO2 CAN-NOT HURRY-RUSH MUST PATIENT
but i do not like waiting i want to do things now .	BUT PT_PRO1 NOT-LIKE WAIT PT_PRO1 WANT DO NOW
i know you do so why do not we go and water the garden then .	PT_PRO1 KNOW PT_PRO2 DO WHY NOT PT_PRO1PL GO WATER GARDEN THEN
good idea let us go .	GOOD IDEA LET-US GO
no look at my garden .	NO LOOK PT_POSS1 GARDEN
look at the plants they are wilted .	LOOK PLANT WILT
so before they were healthy and strong and stood like this and now they are wilted and look like these .	BEFORE PLANT HEALTHY STRONG STAND-UPRIGHT DS(B) NOW WILT LOOK DS(C)
that is a very good way of explaining it possum .	VERY GOOD EXPLAIN-WAY NS_POSSUM
plants when they are all watered are big and strong and healthy .	PLANT WATER MANY BIG STRONG HEALTHY
without water they are all limp and wilted .	WITHOUT WATER PLANT LIMP WILT
water is so important .	WATER VERY IMPORTANT
i had forgotten to water them yesterday .	PT_PRO1 FORGET WATER YESTERDAY
can you go and check the soil to see if it is wet or dry .	PT_PRO2 CAN GO CHECK SOIL WET DRY WHICH
have a look possum .	LOOK NS_POSSUM
sally the soil is very dry .	NS_SALLY SOIL VERY DRY
can you please water them for me possum .	PT_PRO2 CAN PLEASE WATER PT_PRO3 PT_POSS1
thank you possum .	THANK-YOU NS_POSSUM
now they are not dry anymore .	NOW DRY-NOT
it is a bit wet and the plants will use the water to help them stand up tall .	LITTLE WET PLANT WILL USE WATER HELP STAND-TALL
because water is so important .	WATER IMPORTANT
just like out on the farms .	FARM OUT-LOCATION
if there is been no rain and it is very dry the farmers have a hard time .	RAIN NOTHING DRY VERY FARMER HARD
why do not we watch some children visiting a farm and see how they learn how important water is .	CHILD FARM VISIT WATER IMPORTANT HOW
shall we watch .	WATCH
yeah let us watch .	WATCH
you must always be careful it has got big black eyes .	CAREFUL ALWAYS EYE BIG BLACK
farms look like so much fun .	FARM FUN LOOK
yes but farmers work very hard growing all these crops to give us food to eat .	FARMER WORK HARD CROP GROW FOOD GIVE EAT
sally i was thinking before when i was painting it was wet .	NS_SALLY BEFORE PAINT WET
but now it is dry .	NOW DRY
the garden was dry and i watered it and now it is wet .	GARDEN DRY WATER NOW WET
you are right possum .	RIGHT PT_PRO2 NS_POSSUM
but now my mouth it is dry .	NOW PT_POSS1 MOUTH DRY
dry mouth possum .	MOUTH DRY NS_POSSUM
well how do we fix that .	FIX HOW
i know water .	WATER KNOW
that is right water .	RIGHT WATER
why do not you go get a drink of water and i am going to go into the house and wash my hair .	WATER DRINK GET PT_PRO2 HOUSE ENTER HAIR WASH PT_PRO1
i will meet you in the kitchen later .	KITCHEN LATER MEET PT_PRO2 PT_PRO1
okay see you later .	OKAY SEE PT_PRO2 LATER
at last my hair is dry .	FINALLY PT_POSS1 HAIR DRY
here is possum .	PT_LOC POSSUM
have you had a drink of water yet .	PT_PRO2 DRINK WATER FINISH-NOT
i forgot .	PT_PRO1 FORGET
i was so busy watering the garden that i forgot to get a drink of water .	PT_PRO1 BUSY WATER GARDEN FINISH PT_PRO1 FORGET DRINK WATER GET
sally are you all dry now .	NS_SALLY PT_PRO2 DRY FINISH
yes i was all wet but now i am dry .	YES PT_PRO1 WET FINISH NOW PT_PRO1 DRY
my hair was wet but it is dry too .	PT_POSS1 HAIR WET BUT NOW DRY
water is very important drink but i do have an idea we can make a lemon drink .	WATER IMPORTANT VERY DRINK BUT PT_PRO1 IDEA LEMON DRINK MAKE CAN
sally do we need a lemon .	NS_SALLY PT_PRO1+2 LEMON NEED
yes we do need a lemon .	YES PT_PRO1+2 LEMON NEED
if you get the recipe that will explain how to make a lemon drink .	RECIPE GET IF LEMON DRINK MAKE HOW EXPLAIN
now we need to cut our lemon .	NOW PT_PRO1+2 LEMON CUT
see it is wet .	SEE WET
it is wet that is the juice .	WET JUICE
that is right possum that is what lemon juice is try and squeeze it see what happens .	RIGHT POSSUM LEMON JUICE SQUEEZE TRY SEE HAPPEN
look at all the juice coming out .	JUICE COME-OUT MANY LOOK
that is a good job possum .	GOOD-JOB POSSUM
now try and use the juicer .	NOW JUICER USE TRY
sally can i taste it now .	NS_SALLY PT_PRO1 TASTE IX NOW
you can taste it now if you want to but it will be very sour .	PT_PRO2 TASTE IX NOW WANT-NOT FUTURE SOUR MUCH
yes it is very strong tasting .	YES TASTE STRONG MUCH
we need to mix it with water and something sweet to make it taste lovely .	PT_PRO1PL NEED MIX WATER SOMETHING SWEET MAKE TASTE LOVELY
now we need to add something sweet like honey .	NOW NEED ADD SOMETHING SWEET HONEY
it is thick so we need to mix it with a little bit of hot water to help it dissolve .	THICK NEED MIX WATER HOT LITTLE HELP DISSOLVE
good now i will pour the hot water .	GOOD NOW PT_PRO1 POUR WATER HOT
can you stir it up .	PT_PRO2 STIR UP
see there it is dissolving .	SEE DISSOLVE HAPPENING
it is dissolving .	DISSOLVE HAPPENING
that is great .	GREAT THAT
now we put in there .	NOW PT_PRO1PL PUT THERE
now we just need to add some cold water .	NOW NEED ADD WATER COLD
that looks great .	GREAT LOOK
that is our lemon drink .	LEMON DRINK PT_DEM3
would you like to try some .	PT_PRO2 LIKE TRY SOME
yes please .	YES PLEASE
this is delicious .	DELICIOUS THIS
sally my mouth is not dry anymore .	NS_SALLY PT_POSS1 MOUTH DRY-NOT ANYMORE
it feels much better now .	FEEL BETTER NOW
i think i am ready to go outside and keep painting .	PT_PRO1 THINK PT_PRO1 READY GO OUTSIDE CONTINUE PAINT
bye sally .	GOODBYE NS_SALLY
painting .	PAINT
what is he painting i wonder .	PT_PRO3 PAINT WHAT PT_PRO1 WONDER
i hope if he does do some painting that he waits and lets it dry and does not smudge it again .	PT_PRO1 HOPE PT_PRO3 PAINT WAIT DRY SMUDGE-NOT
such a beautiful day .	DAY BEAUTIFUL
i would like to sit and just enjoy it .	PT_PRO1 WANT SIT ENJOY
sally .	NS_SALLY
it is wet .	WET
you need to wait until it is dry .	PT_PRO2 NEED WAIT DRY
it does not matter it does not matter .	MATTER-NOT MATTER-NOT
i will be able to wash it off .	PT_PRO1 ABLE WASH OFF
i made you a sign .	PT_PRO1 MAKE PT_PRO2 SIGN
for me .	PT_POSS1
sally what does it say .	NS_SALLY SIGN SAY-WHAT
wet paint .	WET PAINT
you can use that sign for when you are painting .	PT_PRO2 CAN USE SIGN PAINT
you can put it up so people will know to wait until it is dry .	PT_PRO2 CAN PUT-UP SIGN PEOPLE KNOW WAIT DRY
okay .	OKAY
sally why do not you and i stay here and watch the paint dry .	NS_SALLY WHY PT_PRO2 PT_PRO1 STAY HERE WATCH PAINT DRY
no possum you can watch the paint dry .	NO POSSUM PT_PRO2 CAN WATCH PAINT DRY
i need to go inside and wash my pants and get this paint off .	PT_PRO1 NEED GO INSIDE WASH PT_POSS1 PANTS GET PAINT OFF
well our time is up .	WELL PT_POSS1 TIME FINISH
thanks for watching .	THANKS WATCH
see you next time .	SEE PT_PRO2 NEXT TIME
bye bye .	BYE BYE
hello .	HELLO
look .	LOOK
look .	LOOK
i am sally .	PT_PRO1 NS_SALLY
i am possum .	PT_PRO1 NS_POSSUM
hello .	HELLO
those chopped up bananas on the pancakes were delicious .	BANANA CHOP-UP PANCAKE DELICIOUS
i am so happy .	PT_PRO1 HAPPY VERY
yes i am feeling happy too possum .	YES PT_PRO1 HAPPY SAME NS_POSSUM
possum .	NS_POSSUM
sorry we were so relaxed eating we forgot to say hello .	SORRY PT_PRO1 RELAX EAT FORGET HELLO SAY
hello everyone .	HELLO EVERYONE
sally you are so good to me .	NS_SALLY PT_PRO2 GOOD PT_POSS1
you look after me so well you make sure i have got lots of good food to eat you make sure i am comfortable .	PT_PRO2 LOOK-AFTER PT_PRO1 GOOD FOOD GIVE PT_PRO1 HAVE COMFORTABLE MAKE-SURE
i want to be just like you .	PT_PRO1 WANT SAME-AS PT_PRO2
sally i think i need a pet .	NS_SALLY PT_PRO1 THINK PT_PRO1 NEED PET
you want a pet .	PT_PRO2 WANT PET
what kind of pet .	WHAT KIND PET
would you like something soft .	PT_PRO2 LIKE SOFT
something soft .	SOFT
like what .	LIKE WHAT
like you possum .	LIKE PT_PRO2 NS_POSSUM
you have got nice soft fur that is lovely to stroke .	PT_PRO2 HAVE FUR SOFT NICE LOVELY STROKE
maybe a pet like that like a koala perhaps .	MAYBE PET LIKE THAT LIKE NS_KOALA MAYBE
something that is soft and cuddly that you can cuddle .	SOFT CUDDLY CUDDLE CAN
but i do not think you are allowed to have koalas as pets .	PT_PRO1 THINK PT_PRO2 ALLOW-NOT HAVE NS_KOALA PET
i do not think i would want a koala it might think it is the boss of my tree when it is my tree .	PT_PRO1 THINK PT_PRO1 WANT-NOT NS_KOALA MAYBE THINK BOSS PT_POSS1 TREE WHEN PT_POSS1 TREE
what about an echidna .	ABOUT WHAT NS_ECHIDNA
you can not cuddle an echidna it is too sharp .	CUDDLE-NOT NS_ECHIDNA SHARP TOO
an elephant .	NS_ELEPHANT
imagine all those pancakes you would have to cook for an elephant .	IMAGINE PANCAKE MANY COOK PT_PRO2 SHOULD NS_ELEPHANT
that would be lots .	MANY LOTS
what about a fish in a fishbowl .	FISH FISHBOWL ABOUT WHAT
they are lovely to watch swim around .	LOVELY WATCH SWIM AROUND
fish are nice to look at but .	FISH NICE LOOK-AT BUT
they are a bit boring .	BORING BIT
i can not play with a fish .	PT_PRO1 PLAY FISH CANNOT
no possum they are not boring they can be quite interesting to look at especially the ones with the beautiful bright colors .	NO POSSUM FISH BORING-NOT INTERESTING CAN LOOK-AT ESPECIALLY COLOR BRIGHT BEAUTIFUL
out in the sea under the water there are plenty of fish with all sorts of bright colors .	SEA OUT UNDER WATER FISH MANY COLOR BRIGHT SORTS
that sounds great sally what kind of colors .	SOUND GREAT NS_SALLY COLOR WHAT KIND
well it is best if we go and see for ourselves all the different fish and corals and what colors they are .	GOOD BEST GO SEE PT_PRO1PL FISH DIFFERENT COLOR CORAL
do we need a boat .	BOAT NEED QUESTION
yes it is best to go out on a boat to the reef .	YES BOAT REEF GO BEST
but if we can not do that there is a place called an aquarium and we can walk under the water and watch all the fish swim by .	CANNOT DO AQUARIUM PLACE EXIST WALK WATER UNDER FISH WATCH SWIM-BY
yeah let us have a look now .	YEAH LOOK NOW
let us watch .	WATCH
look the shark eats fish .	SHARK FISH EAT LOOK
that is hard .	HARD
possum did not that look wonderful .	POSSUM NOT LOOK WONDERFUL
it did sally did you see all the different colors of the fish swimming around and that big shark .	YES NS_SALLY COLOR FISH DIFFERENT SWIM AROUND SHARK BIG SEE PT_PRO2
it looked awesome .	AWESOME LOOK
yes possum and all the plants and the coral and all of those beautiful colors out there .	YES POSSUM PLANT CORAL COLOR BEAUTIFUL
yeah and did you see all of the plants waving around just like this .	YEAH PLANT WAVE LOOK THIS
yes they were were not they .	YES WAVE-NOT QUESTION
did you see that shell .	PT_PRO2 SEE PT_DEM3 SHELL
it was not soft it was hard .	SOFT-NOT HARD
yeah and did you see the fish swimming up and around and under the coral it looked great .	PT_PRO2 SEE FISH SWIM UP AROUND UNDER CORAL LOOK GREAT
sally i was just thinking i do not really want a pet anymore .	NS_SALLY PT_PRO1 THINK PT_PRO1 WANT-NOT PET ANYMORE
but the colors of the coral and the fish and all the different plants they looked great .	CORAL COLOR FISH COLOR PLANT DIFFERENT MANY LOOK GREAT
i think they would look good in my tree .	PT_PRO1 THINK PT_PRO3 LOOK GOOD PT_POSS1 TREE
why do not we go and make something with all the beautiful colors .	WHY GO MAKE SOMETHING COLOR BEAUTIFUL MANY
