clip,predicted_glosses,predicted_with_confidence,ground_truth
video_3_67,PT_PRO1PL MAKE CAN HAVE MANY SEE PT_PRO1 PT_PRO2 THINK GO KNOW NOW NS_POSSUM NEED PT_PRO3PL PT_DEM3 BEFORE,PT_PRO1PL(0.74) MAKE(0.68) CAN(0.64) HAVE(0.63) MANY(0.62) SEE(0.62) PT_PRO1(0.58) PT_PRO2(0.57) THINK(0.56) GO(0.50) KNOW(0.50) NOW(0.50) NS_POSSUM(0.50) NEED(0.48) PT_PRO3PL(0.48) PT_DEM3(0.47) BEFORE(0.46),BUT NOW PT_POSS1
video_3_78,GREAT GOOD WHAT READY PT_DEM3 LOOK,GREAT(0.82) GOOD(0.75) WHAT(0.67) READY(0.60) PT_DEM3(0.57) LOOK(0.57),NS_POSSUM
video_3_96,YES RIGHT PT_DEM3 GREAT PT_PRO2 WHAT LOVELY NS_POSSUM GOOD,YES(0.77) RIGHT(0.72) PT_DEM3(0.70) GREAT(0.69) PT_PRO2(0.64) WHAT(0.57) LOVELY(0.57) NS_POSSUM(0.54) GOOD(0.49),LIKE PT_PRO2
video_3_115,NS_SALLY GREAT PT_DEM3 LOOK WHAT PT_PRO1PL PT_PRO2 YES THANK-YOU PT_PRO1,NS_SALLY(0.83) GREAT(0.76) PT_DEM3(0.68) LOOK(0.60) WHAT(0.56) PT_PRO1PL(0.51) PT_PRO2(0.51) YES(0.48) THANK-YOU(0.46) PT_PRO1(0.46),NS_SALLY
video_4_8,NS_SALLY PT_PRO1 PT_PRO2 NS_POSSUM WHAT PT_DEM3 PT_POSS1 CAN HAVE NO BUT PT_PRO3 MAKE NOW VERY GO,NS_SALLY(0.76) PT_PRO1(0.72) PT_PRO2(0.69) NS_POSSUM(0.62) WHAT(0.61) PT_DEM3(0.60) PT_POSS1(0.57) CAN(0.56) HAVE(0.54) NO(0.52) BUT(0.51) PT_PRO3(0.51) MAKE(0.51) NOW(0.49) VERY(0.47) GO(0.46),NS_POSSUM PT_PRO1 SAME YES
video_4_9,YES NS_POSSUM LOOK NS_SALLY,YES(0.77) NS_POSSUM(0.56) LOOK(0.49) NS_SALLY(0.47),NS_POSSUM
video_4_45,KNOW NS_POSSUM HAVE WHAT PT_PRO3 PT_DEM3 SEE PT_PRO1 PT_PRO2 LOOK BUT NOT NO GREAT WATER CAN,KNOW(0.78) NS_POSSUM(0.71) HAVE(0.71) WHAT(0.68) PT_PRO3(0.68) PT_DEM3(0.64) SEE(0.61) PT_PRO1(0.61) PT_PRO2(0.57) LOOK(0.55) BUT(0.54) NOT(0.50) NO(0.49) GREAT(0.48) WATER(0.47) CAN(0.46),WATCH
video_4_53,HELLO BYE NS_POSSUM EVERYONE THANK-YOU,HELLO(0.91) BYE(0.75) NS_POSSUM(0.66) EVERYONE(0.61) THANK-YOU(0.45),YES
video_4_72,PT_PRO1 NS_SALLY PT_DEM3 NOW WHAT MAKE PT_PRO2 CAN HAVE PT_PRO1PL PT_POSS1 NS_POSSUM NEED BUT GREAT,PT_PRO1(0.67) NS_SALLY(0.67) PT_DEM3(0.62) NOW(0.60) WHAT(0.60) MAKE(0.59) PT_PRO2(0.58) CAN(0.55) HAVE(0.53) PT_PRO1PL(0.52) PT_POSS1(0.49) NS_POSSUM(0.46) NEED(0.46) BUT(0.46) GREAT(0.45),LOOK MANY
video_4_82,NOW PT_DEM3 LOOK GREAT NEED WHAT PT_PRO2 PT_PRO1PL PT_LOC PLEASE,NOW(0.88) PT_DEM3(0.82) LOOK(0.71) GREAT(0.61) NEED(0.53) WHAT(0.52) PT_PRO2(0.52) PT_PRO1PL(0.50) PT_LOC(0.50) PLEASE(0.47),PT_DEM3 VERY YES
video_4_86,NS_SALLY PT_PRO1 PT_PRO2 MAKE NOW CAN PT_DEM3 BUT PT_POSS1 PT_PRO1PL LOOK HAVE GO PT_POSS2 NEED WHAT KNOW SEE NS_POSSUM TREE GREAT PT_LOC PT_PRO3,NS_SALLY(0.76) PT_PRO1(0.70) PT_PRO2(0.66) MAKE(0.63) NOW(0.63) CAN(0.62) PT_DEM3(0.62) BUT(0.61) PT_POSS1(0.61) PT_PRO1PL(0.59) LOOK(0.55) HAVE(0.55) GO(0.54) PT_POSS2(0.51) NEED(0.50) WHAT(0.49) KNOW(0.49) SEE(0.49) NS_POSSUM(0.49) TREE(0.49) GREAT(0.48) PT_LOC(0.47) PT_PRO3(0.46),NS_SALLY PT_DEM3 WELL
video_4_100,PT_PRO2 PT_DEM3 LOVELY YES CAN RIGHT NS_POSSUM NOW WHAT WANT GREAT NEED PT_PRO1 LOOK MAKE PUT DO PT_PRO1PL,PT_PRO2(0.73) PT_DEM3(0.68) LOVELY(0.65) YES(0.63) CAN(0.63) RIGHT(0.62) NS_POSSUM(0.60) NOW(0.57) WHAT(0.56) WANT(0.56) GREAT(0.56) NEED(0.51) PT_PRO1(0.49) LOOK(0.48) MAKE(0.48) PUT(0.46) DO(0.46) PT_PRO1PL(0.46),GREAT LOOK NS_POSSUM
video_5_9,GREAT PT_DEM3 YES NS_POSSUM PT_PRO2 NO GOOD RIGHT,GREAT(0.75) PT_DEM3(0.67) YES(0.63) NS_POSSUM(0.60) PT_PRO2(0.55) NO(0.54) GOOD(0.53) RIGHT(0.50),PT_PRO1
video_5_14,SEE PT_PRO2 LOOK PT_DEM3 CAN PT_PRO1 GREAT NOW HAVE PT_PRO1PL RIGHT PT_PRO3PL PT_PRO3,SEE(0.75) PT_PRO2(0.65) LOOK(0.62) PT_DEM3(0.59) CAN(0.56) PT_PRO1(0.52) GREAT(0.50) NOW(0.49) HAVE(0.47) PT_PRO1PL(0.47) RIGHT(0.47) PT_PRO3PL(0.46) PT_PRO3(0.46),GO HOW NS_POSSUM PT_PRO1
video_5_42,GREAT OKAY YES PT_DEM3 WATCH RIGHT NS_SALLY OK GOOD LOOK PT_PRO1PL,GREAT(0.89) OKAY(0.77) YES(0.69) PT_DEM3(0.66) WATCH(0.65) RIGHT(0.63) NS_SALLY(0.62) OK(0.61) GOOD(0.59) LOOK(0.55) PT_PRO1PL(0.46),WHAT
video_5_47,PT_PRO1 MAKE PT_PRO1PL PT_DEM3 PT_POSS1 NS_SALLY PT_PRO2 NOW NS_POSSUM NEED HAVE CAN GOOD VERY GREAT LIKE,PT_PRO1(0.69) MAKE(0.67) PT_PRO1PL(0.61) PT_DEM3(0.60) PT_POSS1(0.60) NS_SALLY(0.57) PT_PRO2(0.57) NOW(0.55) NS_POSSUM(0.53) NEED(0.53) HAVE(0.53) CAN(0.50) GOOD(0.47) VERY(0.46) GREAT(0.46) LIKE(0.45),NOW
video_5_56,PT_PRO2 NS_POSSUM GO CAN PT_PRO3 PT_PRO1PL PT_PRO1 PT_POSS2 NOW GET WANT PT_DEM3 HERE SEE TREE COME HAVE LOOK THINK,PT_PRO2(0.78) NS_POSSUM(0.70) GO(0.65) CAN(0.63) PT_PRO3(0.62) PT_PRO1PL(0.62) PT_PRO1(0.61) PT_POSS2(0.59) NOW(0.59) GET(0.58) WANT(0.54) PT_DEM3(0.54) HERE(0.54) SEE(0.54) TREE(0.52) COME(0.48) HAVE(0.48) LOOK(0.48) THINK(0.45),NS_POSSUM PT_PRO1 PT_PRO2
video_5_61,PT_PRO2 CAN NEED NS_POSSUM MAKE PT_PRO1 NOW WANT PT_DEM3 GET PT_PRO1PL PUT PT_PRO3 HAVE PT_POSS2,PT_PRO2(0.81) CAN(0.75) NEED(0.68) NS_POSSUM(0.67) MAKE(0.66) PT_PRO1(0.64) NOW(0.62) WANT(0.62) PT_DEM3(0.61) GET(0.61) PT_PRO1PL(0.59) PUT(0.50) PT_PRO3(0.48) HAVE(0.47) PT_POSS2(0.46),PT_DEM3 PT_PRO2
video_5_90,PT_PRO2 NS_POSSUM PT_PRO1 CAN WANT PT_DEM3 GO PT_PRO1PL YES PT_PRO3 HAVE SEE MAKE NOW,PT_PRO2(0.78) NS_POSSUM(0.74) PT_PRO1(0.64) CAN(0.60) WANT(0.58) PT_DEM3(0.58) GO(0.57) PT_PRO1PL(0.53) YES(0.51) PT_PRO3(0.50) HAVE(0.48) SEE(0.47) MAKE(0.47) NOW(0.46),CAN DO YES
video_5_102,NOW PT_DEM3 GREAT PT_PRO1PL PT_PRO2 RIGHT LOOK WHAT GOOD PUT NEED PLEASE CAN LOVELY,NOW(0.79) PT_DEM3(0.74) GREAT(0.66) PT_PRO1PL(0.62) PT_PRO2(0.59) RIGHT(0.58) LOOK(0.58) WHAT(0.58) GOOD(0.57) PUT(0.57) NEED(0.54) PLEASE(0.48) CAN(0.48) LOVELY(0.47),CAN DO PLEASE PT_PRO2 THAT
video_5_130,YES RIGHT NS_POSSUM GREAT,YES(0.97) RIGHT(0.68) NS_POSSUM(0.58) GREAT(0.52),GREAT LOOK NOT
video_6_37,GREAT HELLO NS_POSSUM GO PT_DEM3 BYE LOOK THANK-YOU,GREAT(0.83) HELLO(0.74) NS_POSSUM(0.74) GO(0.58) PT_DEM3(0.54) BYE(0.52) LOOK(0.48) THANK-YOU(0.46),HELLO
video_6_90,CAN PT_PRO2 PT_PRO1PL NOW PT_PRO1 WANT MAKE PT_DEM3 GET NS_POSSUM PT_PRO3 GO WILL NEED HELP DO PUT HAVE,CAN(0.73) PT_PRO2(0.71) PT_PRO1PL(0.66) NOW(0.64) PT_PRO1(0.64) WANT(0.61) MAKE(0.59) PT_DEM3(0.58) GET(0.57) NS_POSSUM(0.55) PT_PRO3(0.54) GO(0.53) WILL(0.53) NEED(0.53) HELP(0.52) DO(0.50) PUT(0.50) HAVE(0.48),YES
video_6_92,NS_SALLY GREAT LOOK PT_DEM3 NS_POSSUM PT_PRO2 HERE NOW PT_PRO1PL PT_LOC PT_PRO1 THANK-YOU WHAT PT_POSS1 GO,NS_SALLY(0.78) GREAT(0.65) LOOK(0.65) PT_DEM3(0.64) NS_POSSUM(0.59) PT_PRO2(0.58) HERE(0.56) NOW(0.53) PT_PRO1PL(0.52) PT_LOC(0.52) PT_PRO1(0.52) THANK-YOU(0.50) WHAT(0.48) PT_POSS1(0.46) GO(0.46),HELP LOVE MAKE PT_PRO1 PT_PRO2 YES
video_7_6,HELLO EVERYONE,HELLO(0.99) EVERYONE(0.72),HELLO
video_7_11,NS_POSSUM GO PT_PRO2 YES PT_DEM3 PT_PRO1,NS_POSSUM(0.65) GO(0.63) PT_PRO2(0.61) YES(0.58) PT_DEM3(0.53) PT_PRO1(0.48),GOOD NS_SALLY PT_PRO1
video_7_30,NS_SALLY NS_POSSUM LOOK PT_DEM3 GREAT PT_PRO2 PT_PRO1 PT_PRO1PL YES,NS_SALLY(0.67) NS_POSSUM(0.63) LOOK(0.60) PT_DEM3(0.60) GREAT(0.58) PT_PRO2(0.54) PT_PRO1(0.52) PT_PRO1PL(0.52) YES(0.45),NS_POSSUM WHERE
video_7_84,PT_PRO1 NS_POSSUM HAVE PT_PRO2 SEE CAN PT_DEM3 PT_PRO3 PT_PRO1PL NOW KNOW BUT PT_POSS1 LOOK VERY NOT GO,PT_PRO1(0.68) NS_POSSUM(0.67) HAVE(0.66) PT_PRO2(0.65) SEE(0.62) CAN(0.61) PT_DEM3(0.59) PT_PRO3(0.59) PT_PRO1PL(0.58) NOW(0.56) KNOW(0.55) BUT(0.55) PT_POSS1(0.54) LOOK(0.51) VERY(0.48) NOT(0.48) GO(0.47),KNOW PT_PRO1 PT_PRO2
video_7_90,NS_POSSUM PT_PRO2 PT_DEM3 YES PT_PRO1 HAVE NO PT_PRO3 RIGHT NOT WHAT GREAT LOOK,NS_POSSUM(0.80) PT_PRO2(0.68) PT_DEM3(0.67) YES(0.66) PT_PRO1(0.58) HAVE(0.57) NO(0.54) PT_PRO3(0.52) RIGHT(0.51) NOT(0.50) WHAT(0.50) GREAT(0.48) LOOK(0.45),WATCH WELL WHY-NOT
video_7_106,PT_DEM3 NOW LOOK NS_SALLY GREAT NS_POSSUM PT_PRO1PL WHAT PT_PRO2 PT_LOC PT_PRO1 PT_POSS1 HAVE GOOD NEED,PT_DEM3(0.71) NOW(0.70) LOOK(0.68) NS_SALLY(0.66) GREAT(0.57) NS_POSSUM(0.56) PT_PRO1PL(0.55) WHAT(0.52) PT_PRO2(0.51) PT_LOC(0.50) PT_PRO1(0.48) PT_POSS1(0.48) HAVE(0.47) GOOD(0.46) NEED(0.45),LOVELY PT_DEM3
video_7_111,PT_DEM3 PT_PRO2 NS_POSSUM LOOK LOVELY YES GREAT RIGHT WHAT NOW SEE CAN,PT_DEM3(0.72) PT_PRO2(0.70) NS_POSSUM(0.69) LOOK(0.65) LOVELY(0.64) YES(0.63) GREAT(0.63) RIGHT(0.63) WHAT(0.61) NOW(0.60) SEE(0.48) CAN(0.45),WHAT
video_8_10,PT_PRO2 NS_POSSUM SEE PT_DEM3 PT_PRO3 HAVE PT_PRO1 CAN WILL WHAT PT_PRO1PL KNOW GREAT,PT_PRO2(0.69) NS_POSSUM(0.63) SEE(0.62) PT_DEM3(0.61) PT_PRO3(0.61) HAVE(0.59) PT_PRO1(0.59) CAN(0.56) WILL(0.54) WHAT(0.47) PT_PRO1PL(0.46) KNOW(0.46) GREAT(0.46),PT_DEM3
video_8_20,NS_SALLY GREAT PT_DEM3 NOW PT_PRO1PL LOOK PT_LOC GOOD WHAT READY PT_PRO2,NS_SALLY(0.73) GREAT(0.71) PT_DEM3(0.68) NOW(0.65) PT_PRO1PL(0.63) LOOK(0.60) PT_LOC(0.57) GOOD(0.54) WHAT(0.50) READY(0.48) PT_PRO2(0.47),PT_DEM3
video_8_33,HELLO NS_SALLY NS_POSSUM YES PT_DEM3 BYE,HELLO(0.76) NS_SALLY(0.74) NS_POSSUM(0.59) YES(0.48) PT_DEM3(0.48) BYE(0.46),HELLO
video_8_62,PT_PRO2 NS_POSSUM NOW PT_PRO1PL PT_PRO1 CAN PT_DEM3 NEED MAKE PT_POSS2 GO HAVE WANT PT_PRO3 GET PT_POSS1 LOOK NOT YES THINK GREAT,PT_PRO2(0.73) NS_POSSUM(0.67) NOW(0.65) PT_PRO1PL(0.65) PT_PRO1(0.63) CAN(0.61) PT_DEM3(0.59) NEED(0.53) MAKE(0.53) PT_POSS2(0.52) GO(0.52) HAVE(0.51) WANT(0.51) PT_PRO3(0.51) GET(0.50) PT_POSS1(0.48) LOOK(0.48) NOT(0.46) YES(0.45) THINK(0.45) GREAT(0.45),PT_DEM3
video_8_70,YES OKAY GREAT OK RIGHT,YES(0.90) OKAY(0.77) GREAT(0.74) OK(0.74) RIGHT(0.68),HERE
video_9_6,YES GREAT WATCH PT_PRO1PL RIGHT NS_SALLY PT_DEM3 PT_PRO1 GOOD OK NS_POSSUM VERY,YES(0.77) GREAT(0.69) WATCH(0.67) PT_PRO1PL(0.58) RIGHT(0.57) NS_SALLY(0.54) PT_DEM3(0.54) PT_PRO1(0.51) GOOD(0.49) OK(0.49) NS_POSSUM(0.47) VERY(0.45),HELLO WAIT
video_9_41,NS_SALLY PT_PRO1 MAKE CAN PT_POSS1 PT_PRO2 BUT PT_DEM3 HAVE NOW GO KNOW PT_POSS2 PT_PRO3 WHAT PT_PRO1PL VERY,NS_SALLY(0.89) PT_PRO1(0.80) MAKE(0.68) CAN(0.65) PT_POSS1(0.64) PT_PRO2(0.62) BUT(0.61) PT_DEM3(0.58) HAVE(0.55) NOW(0.53) GO(0.51) KNOW(0.49) PT_POSS2(0.49) PT_PRO3(0.49) WHAT(0.48) PT_PRO1PL(0.48) VERY(0.45),NS_SALLY
video_9_53,GREAT NS_SALLY PT_DEM3 WHAT RIGHT OKAY GOOD OK WHERE YES WATCH,GREAT(0.78) NS_SALLY(0.66) PT_DEM3(0.66) WHAT(0.65) RIGHT(0.57) OKAY(0.57) GOOD(0.51) OK(0.49) WHERE(0.48) YES(0.48) WATCH(0.45),ALL THAT
video_9_61,GREAT PT_DEM3 RIGHT GOOD YES OKAY LOOK WHAT OK,GREAT(0.86) PT_DEM3(0.72) RIGHT(0.67) GOOD(0.65) YES(0.63) OKAY(0.55) LOOK(0.55) WHAT(0.52) OK(0.50),GOOD
video_10_6,HELLO EVERYONE,HELLO(1.00) EVERYONE(0.85),EVERYONE HELLO
video_10_28,PT_DEM3 PT_PRO2 GREAT NS_POSSUM LOOK NOW YES RIGHT WHAT PT_PRO1PL,PT_DEM3(0.72) PT_PRO2(0.68) GREAT(0.63) NS_POSSUM(0.62) LOOK(0.58) NOW(0.57) YES(0.57) RIGHT(0.55) WHAT(0.52) PT_PRO1PL(0.47),RIGHT YES
video_10_33,WATCH GREAT PT_PRO1PL NS_SALLY FINISH LOOK PT_DEM3 RIGHT,WATCH(0.89) GREAT(0.73) PT_PRO1PL(0.66) NS_SALLY(0.62) FINISH(0.59) LOOK(0.55) PT_DEM3(0.48) RIGHT(0.46),WATCH YES
video_10_49,YES NS_POSSUM GREAT RIGHT PT_DEM3 PT_PRO2 LOOK WHAT,YES(0.80) NS_POSSUM(0.75) GREAT(0.68) RIGHT(0.66) PT_DEM3(0.66) PT_PRO2(0.60) LOOK(0.48) WHAT(0.46),NS_POSSUM PT_DEM3 RIGHT YES
video_10_111,PT_DEM3 NS_SALLY LOOK GREAT NS_POSSUM PT_PRO2 WHAT YES RIGHT NOW PT_PRO1 HERE PT_PRO1PL GOOD,PT_DEM3(0.67) NS_SALLY(0.67) LOOK(0.64) GREAT(0.64) NS_POSSUM(0.62) PT_PRO2(0.59) WHAT(0.57) YES(0.54) RIGHT(0.53) NOW(0.51) PT_PRO1(0.51) HERE(0.48) PT_PRO1PL(0.46) GOOD(0.45),HELLO
video_10_121,PT_DEM3 GREAT WHAT LOOK RIGHT GOOD NS_POSSUM YES PT_PRO2 NOW,PT_DEM3(0.73) GREAT(0.69) WHAT(0.65) LOOK(0.63) RIGHT(0.57) GOOD(0.55) NS_POSSUM(0.55) YES(0.54) PT_PRO2(0.54) NOW(0.53),PT_DEM3 WHAT
video_10_141,SEE PT_PRO2 PT_POSS1 NS_POSSUM HAVE PT_DEM3 PT_PRO1 PT_PRO1PL NOW,SEE(0.79) PT_PRO2(0.78) PT_POSS1(0.70) NS_POSSUM(0.58) HAVE(0.54) PT_DEM3(0.53) PT_PRO1(0.51) PT_PRO1PL(0.51) NOW(0.50),PT_PRO1PL
video_11_59,NS_SALLY GREAT PT_PRO1PL WATCH PT_DEM3 PT_PRO1 YES LOOK PT_PRO2 OKAY CAN PT_PRO3 RIGHT,NS_SALLY(0.73) GREAT(0.65) PT_PRO1PL(0.63) WATCH(0.61) PT_DEM3(0.59) PT_PRO1(0.57) YES(0.55) LOOK(0.53) PT_PRO2(0.52) OKAY(0.49) CAN(0.49) PT_PRO3(0.49) RIGHT(0.48),PT_DEM3
video_11_103,NS_SALLY WATCH GREAT PT_PRO1PL LOOK PT_DEM3 RIGHT PT_PRO1 NS_SKIP FINISH CAN,NS_SALLY(0.72) WATCH(0.72) GREAT(0.66) PT_PRO1PL(0.64) LOOK(0.62) PT_DEM3(0.59) RIGHT(0.51) PT_PRO1(0.49) NS_SKIP(0.47) FINISH(0.46) CAN(0.46),GOOD NOT
video_12_15,GREAT OKAY GOOD PT_DEM3 NS_SALLY RIGHT WATCH YES OK WHAT LOOK PT_PRO1PL,GREAT(0.88) OKAY(0.70) GOOD(0.70) PT_DEM3(0.65) NS_SALLY(0.60) RIGHT(0.60) WATCH(0.59) YES(0.54) OK(0.53) WHAT(0.53) LOOK(0.49) PT_PRO1PL(0.48),DO NS_SALLY WHAT
video_12_97,SEE PT_PRO2 NS_POSSUM CAN PT_DEM3 HAVE NOW PT_PRO3 PT_PRO1 LOOK PT_PRO1PL,SEE(0.70) PT_PRO2(0.69) NS_POSSUM(0.68) CAN(0.66) PT_DEM3(0.64) HAVE(0.63) NOW(0.61) PT_PRO3(0.61) PT_PRO1(0.57) LOOK(0.55) PT_PRO1PL(0.50),NS_POSSUM
video_12_103,NS_POSSUM PT_PRO1 PT_PRO2 PT_DEM3 KNOW HAVE PT_PRO3 BUT YES VERY GO NO WATER WHAT SEE CAN NOT RIGHT DO,NS_POSSUM(0.71) PT_PRO1(0.68) PT_PRO2(0.64) PT_DEM3(0.62) KNOW(0.59) HAVE(0.59) PT_PRO3(0.58) BUT(0.56) YES(0.54) VERY(0.52) GO(0.51) NO(0.51) WATER(0.51) WHAT(0.50) SEE(0.49) CAN(0.47) NOT(0.46) RIGHT(0.46) DO(0.45),KNOW PT_PRO1 PT_PRO3 WHAT
video_12_112,HELLO NS_POSSUM GREAT LOOK PT_DEM3 KNOW NS_SALLY,HELLO(0.66) NS_POSSUM(0.59) GREAT(0.57) LOOK(0.49) PT_DEM3(0.49) KNOW(0.48) NS_SALLY(0.48),WHAT
video_13_44,PT_PRO1 BUT MAKE CAN HAVE GO WATCH PT_POSS1 PT_PRO2 SEE PT_PRO1PL MANY LEARN NS_POSSUM PT_PRO3 THING PT_DEM3 KNOW NOW THINK DIFFERENT GET PT_PRO3PL NEED GOOD WATER,PT_PRO1(0.78) BUT(0.68) MAKE(0.67) CAN(0.67) HAVE(0.64) GO(0.60) WATCH(0.59) PT_POSS1(0.59) PT_PRO2(0.58) SEE(0.58) PT_PRO1PL(0.57) MANY(0.57) LEARN(0.57) NS_POSSUM(0.55) PT_PRO3(0.55) THING(0.54) PT_DEM3(0.52) KNOW(0.51) NOW(0.50) THINK(0.50) DIFFERENT(0.49) GET(0.48) PT_PRO3PL(0.48) NEED(0.46) GOOD(0.46) WATER(0.45),HERE NEED PT_PRO1 PT_PRO1PL TWO WHY
video_13_64,PT_PRO2 NS_POSSUM WHAT PT_DEM3 PT_PRO1PL CAN HAVE NOW SEE,PT_PRO2(0.67) NS_POSSUM(0.61) WHAT(0.60) PT_DEM3(0.59) PT_PRO1PL(0.57) CAN(0.52) HAVE(0.48) NOW(0.46) SEE(0.46),GO
video_13_89,WHAT PT_DEM3,WHAT(0.92) PT_DEM3(0.47),BUT HOW
video_13_100,GREAT WHAT PT_DEM3 NS_SALLY GOOD RIGHT PT_PRO1,GREAT(0.73) WHAT(0.73) PT_DEM3(0.71) NS_SALLY(0.68) GOOD(0.58) RIGHT(0.52) PT_PRO1(0.46),NEED NOW WHAT
video_13_109,NS_SALLY PT_PRO1 PT_DEM3 GREAT CAN WHAT PT_PRO2 PT_PRO1PL LIKE,NS_SALLY(0.66) PT_PRO1(0.64) PT_DEM3(0.63) GREAT(0.60) CAN(0.58) WHAT(0.56) PT_PRO2(0.55) PT_PRO1PL(0.50) LIKE(0.45),HELP PT_PRO1 PT_PRO2 WILL
